fraction	Nx_length
0.001	370625026
0.002	370625026
0.003	370625026
0.004	370625026
0.005	370625026
0.006	370625026
0.007	370625026
0.008	370625026
0.009	370625026
0.01	370625026
0.011	370625026
0.012	370625026
0.013	370625026
0.014	370625026
0.015	370625026
0.016	370625026
0.017	370625026
0.018	370625026
0.019	370625026
0.02	370625026
0.021	370625026
0.022	370625026
0.023	370625026
0.024	370625026
0.025	370625026
0.026	370625026
0.027	370625026
0.028	370625026
0.029	370625026
0.03	370625026
0.031	370625026
0.032	370625026
0.033	370625026
0.034	370625026
0.035	370625026
0.036	370625026
0.037	370625026
0.038	370625026
0.039	370625026
0.04	370625026
0.041	370625026
0.042	370625026
0.043	370625026
0.044	370625026
0.045	370625026
0.046	370625026
0.047	370625026
0.048	370625026
0.049	370625026
0.05	370625026
0.051	370625026
0.052	370625026
0.053	370625026
0.054	370625026
0.055	370625026
0.056	370625026
0.057	370625026
0.058	370625026
0.059	370625026
0.06	370625026
0.061	370625026
0.062	370625026
0.063	370625026
0.064	370625026
0.065	370625026
0.066	370625026
0.067	370625026
0.068	370625026
0.069	370625026
0.07	370625026
0.071	370625026
0.072	370625026
0.073	370625026
0.074	370625026
0.075	370625026
0.076	370625026
0.077	370625026
0.078	370625026
0.079	370625026
0.08	370625026
0.081	370625026
0.082	370625026
0.083	370625026
0.084	370625026
0.085	370625026
0.086	370625026
0.087	370625026
0.088	370625026
0.089	370625026
0.09	370625026
0.091	370625026
0.092	370625026
0.093	370625026
0.094	370625026
0.095	370625026
0.096	370625026
0.097	370625026
0.098	370625026
0.099	370625026
0.1	370625026
0.101	370625026
0.102	370625026
0.103	370625026
0.104	370625026
0.105	370625026
0.106	370625026
0.107	370625026
0.108	370625026
0.109	370625026
0.11	370625026
0.111	370625026
0.112	370625026
0.113	370625026
0.114	370625026
0.115	370625026
0.116	370625026
0.117	370625026
0.118	370625026
0.119	370625026
0.12	370625026
0.121	370625026
0.122	370625026
0.123	370625026
0.124	370625026
0.125	370625026
0.126	370625026
0.127	370625026
0.128	370625026
0.129	370625026
0.13	370625026
0.131	370625026
0.132	370625026
0.133	370625026
0.134	370625026
0.135	370625026
0.136	370625026
0.137	370625026
0.138	370625026
0.139	370625026
0.14	370625026
0.141	370625026
0.142	370625026
0.143	370625026
0.144	370625026
0.145	370625026
0.146	370625026
0.147	370625026
0.148	370625026
0.149	370625026
0.15	370625026
0.151	370625026
0.152	370625026
0.153	370625026
0.154	370625026
0.155	370625026
0.156	370625026
0.157	370625026
0.158	370625026
0.159	370625026
0.16	370625026
0.161	370625026
0.162	370625026
0.163	370625026
0.164	370625026
0.165	370625026
0.166	370625026
0.167	370625026
0.168	370625026
0.169	370625026
0.17	370625026
0.171	370625026
0.172	370625026
0.173	370625026
0.174	370625026
0.175	370625026
0.176	370625026
0.177	370625026
0.178	370625026
0.179	370625026
0.18	370625026
0.181	370625026
0.182	370625026
0.183	370625026
0.184	370625026
0.185	370625026
0.186	370625026
0.187	370625026
0.188	370625026
0.189	370625026
0.19	370625026
0.191	370625026
0.192	370625026
0.193	370625026
0.194	370625026
0.195	370625026
0.196	370625026
0.197	370625026
0.198	370625026
0.199	370625026
0.2	370625026
0.201	370625026
0.202	370625026
0.203	370625026
0.204	370625026
0.205	370625026
0.206	370625026
0.207	370625026
0.208	370625026
0.209	370625026
0.21	370625026
0.211	370625026
0.212	370625026
0.213	370625026
0.214	370625026
0.215	370625026
0.216	370625026
0.217	370625026
0.218	370625026
0.219	370625026
0.22	370625026
0.221	370625026
0.222	370625026
0.223	370625026
0.224	370625026
0.225	370625026
0.226	370625026
0.227	370625026
0.228	299851254
0.229	299851254
0.23	299851254
0.231	299851254
0.232	299851254
0.233	299851254
0.234	299851254
0.235	299851254
0.236	299851254
0.237	299851254
0.238	299851254
0.239	299851254
0.24	299851254
0.241	299851254
0.242	299851254
0.243	299851254
0.244	299851254
0.245	299851254
0.246	299851254
0.247	299851254
0.248	299851254
0.249	299851254
0.25	299851254
0.251	299851254
0.252	299851254
0.253	299851254
0.254	299851254
0.255	299851254
0.256	299851254
0.257	299851254
0.258	299851254
0.259	299851254
0.26	299851254
0.261	299851254
0.262	299851254
0.263	299851254
0.264	299851254
0.265	299851254
0.266	299851254
0.267	299851254
0.268	299851254
0.269	299851254
0.27	299851254
0.271	299851254
0.272	299851254
0.273	299851254
0.274	299851254
0.275	299851254
0.276	299851254
0.277	299851254
0.278	299851254
0.279	299851254
0.28	299851254
0.281	299851254
0.282	299851254
0.283	299851254
0.284	299851254
0.285	299851254
0.286	299851254
0.287	299851254
0.288	299851254
0.289	299851254
0.29	299851254
0.291	299851254
0.292	299851254
0.293	299851254
0.294	299851254
0.295	299851254
0.296	299851254
0.297	299851254
0.298	299851254
0.299	299851254
0.3	299851254
0.301	299851254
0.302	299851254
0.303	299851254
0.304	299851254
0.305	299851254
0.306	299851254
0.307	299851254
0.308	299851254
0.309	299851254
0.31	299851254
0.311	299851254
0.312	299851254
0.313	299851254
0.314	299851254
0.315	299851254
0.316	299851254
0.317	299851254
0.318	299851254
0.319	299851254
0.32	299851254
0.321	299851254
0.322	299851254
0.323	299851254
0.324	299851254
0.325	299851254
0.326	299851254
0.327	299851254
0.328	299851254
0.329	299851254
0.33	299851254
0.331	299851254
0.332	299851254
0.333	299851254
0.334	299851254
0.335	299851254
0.336	299851254
0.337	299851254
0.338	299851254
0.339	299851254
0.34	299851254
0.341	299851254
0.342	299851254
0.343	299851254
0.344	299851254
0.345	299851254
0.346	299851254
0.347	299851254
0.348	299851254
0.349	299851254
0.35	299851254
0.351	299851254
0.352	299851254
0.353	299851254
0.354	299851254
0.355	299851254
0.356	299851254
0.357	299851254
0.358	299851254
0.359	299851254
0.36	299851254
0.361	299851254
0.362	299851254
0.363	299851254
0.364	299851254
0.365	299851254
0.366	299851254
0.367	299851254
0.368	299851254
0.369	299851254
0.37	299851254
0.371	299851254
0.372	299851254
0.373	299851254
0.374	299851254
0.375	299851254
0.376	299851254
0.377	299851254
0.378	299851254
0.379	299851254
0.38	299851254
0.381	299851254
0.382	299851254
0.383	299851254
0.384	299851254
0.385	299851254
0.386	299851254
0.387	299851254
0.388	299851254
0.389	299851254
0.39	299851254
0.391	299851254
0.392	299851254
0.393	299851254
0.394	299851254
0.395	299851254
0.396	299851254
0.397	299851254
0.398	299851254
0.399	299851254
0.4	299851254
0.401	299851254
0.402	299851254
0.403	299851254
0.404	299851254
0.405	299851254
0.406	299851254
0.407	299851254
0.408	299851254
0.409	299851254
0.41	299851254
0.411	222489854
0.412	222489854
0.413	222489854
0.414	222489854
0.415	222489854
0.416	222489854
0.417	222489854
0.418	222489854
0.419	222489854
0.42	222489854
0.421	222489854
0.422	222489854
0.423	222489854
0.424	222489854
0.425	222489854
0.426	222489854
0.427	222489854
0.428	222489854
0.429	222489854
0.43	222489854
0.431	222489854
0.432	222489854
0.433	222489854
0.434	222489854
0.435	222489854
0.436	222489854
0.437	222489854
0.438	222489854
0.439	222489854
0.44	222489854
0.441	222489854
0.442	222489854
0.443	222489854
0.444	222489854
0.445	222489854
0.446	222489854
0.447	222489854
0.448	222489854
0.449	222489854
0.45	222489854
0.451	222489854
0.452	222489854
0.453	222489854
0.454	222489854
0.455	222489854
0.456	222489854
0.457	222489854
0.458	222489854
0.459	222489854
0.46	222489854
0.461	222489854
0.462	222489854
0.463	222489854
0.464	222489854
0.465	222489854
0.466	222489854
0.467	222489854
0.468	222489854
0.469	222489854
0.47	222489854
0.471	222489854
0.472	222489854
0.473	222489854
0.474	222489854
0.475	222489854
0.476	222489854
0.477	222489854
0.478	222489854
0.479	222489854
0.48	222489854
0.481	222489854
0.482	222489854
0.483	222489854
0.484	222489854
0.485	222489854
0.486	222489854
0.487	222489854
0.488	222489854
0.489	222489854
0.49	222489854
0.491	222489854
0.492	222489854
0.493	222489854
0.494	222489854
0.495	222489854
0.496	222489854
0.497	222489854
0.498	222489854
0.499	222489854
0.5	222489854
0.501	222489854
0.502	222489854
0.503	222489854
0.504	222489854
0.505	222489854
0.506	222489854
0.507	222489854
0.508	222489854
0.509	222489854
0.51	222489854
0.511	222489854
0.512	222489854
0.513	222489854
0.514	222489854
0.515	222489854
