fraction	Nx_length
0.001	37748703
0.002	37748703
0.003	37748703
0.004	37748703
0.005	37748703
0.006	37748703
0.007	37748703
0.008	37748703
0.009	37748703
0.01	37748703
0.011	37748703
0.012	37748703
0.013	37748703
0.014	37748703
0.015	37748703
0.016	37748703
0.017	37748703
0.018	37748703
0.019	37748703
0.02	37748703
0.021	37748703
0.022	37748703
0.023	37748703
0.024	37748703
0.025	37748703
0.026	37748703
0.027	37748703
0.028	29085690
0.029	29085690
0.03	29085690
0.031	29085690
0.032	29085690
0.033	29085690
0.034	29085690
0.035	29085690
0.036	29085690
0.037	29085690
0.038	29085690
0.039	29085690
0.04	29085690
0.041	29085690
0.042	29085690
0.043	29085690
0.044	29085690
0.045	29085690
0.046	29085690
0.047	29085690
0.048	29085690
0.049	28899753
0.05	28899753
0.051	28899753
0.052	28899753
0.053	28899753
0.054	28899753
0.055	28899753
0.056	28899753
0.057	28899753
0.058	28899753
0.059	28899753
0.06	28899753
0.061	28899753
0.062	28899753
0.063	28899753
0.064	28899753
0.065	28899753
0.066	28899753
0.067	28899753
0.068	28899753
0.069	27247312
0.07	27247312
0.071	27247312
0.072	27247312
0.073	27247312
0.074	27247312
0.075	27247312
0.076	27247312
0.077	27247312
0.078	27247312
0.079	27247312
0.08	27247312
0.081	27247312
0.082	27247312
0.083	27247312
0.084	27247312
0.085	27247312
0.086	27247312
0.087	27247312
0.088	27247312
0.089	25740822
0.09	25740822
0.091	25740822
0.092	25740822
0.093	25740822
0.094	25740822
0.095	25740822
0.096	25740822
0.097	25740822
0.098	25740822
0.099	25740822
0.1	25740822
0.101	25740822
0.102	25740822
0.103	25740822
0.104	25740822
0.105	25740822
0.106	25740822
0.107	25740822
0.108	23156585
0.109	23156585
0.11	23156585
0.111	23156585
0.112	23156585
0.113	23156585
0.114	23156585
0.115	23156585
0.116	23156585
0.117	23156585
0.118	23156585
0.119	23156585
0.12	23156585
0.121	23156585
0.122	23156585
0.123	23156585
0.124	22272937
0.125	22272937
0.126	22272937
0.127	22272937
0.128	22272937
0.129	22272937
0.13	22272937
0.131	22272937
0.132	22272937
0.133	22272937
0.134	22272937
0.135	22272937
0.136	22272937
0.137	22272937
0.138	22272937
0.139	22272937
0.14	22137144
0.141	22137144
0.142	22137144
0.143	22137144
0.144	22137144
0.145	22137144
0.146	22137144
0.147	22137144
0.148	22137144
0.149	22137144
0.15	22137144
0.151	22137144
0.152	22137144
0.153	22137144
0.154	22137144
0.155	22137144
0.156	17700945
0.157	17700945
0.158	17700945
0.159	17700945
0.16	17700945
0.161	17700945
0.162	17700945
0.163	17700945
0.164	17700945
0.165	17700945
0.166	17700945
0.167	17700945
0.168	17700945
0.169	16672107
0.17	16672107
0.171	16672107
0.172	16672107
0.173	16672107
0.174	16672107
0.175	16672107
0.176	16672107
0.177	16672107
0.178	16672107
0.179	16672107
0.18	16672107
0.181	16241139
0.182	16241139
0.183	16241139
0.184	16241139
0.185	16241139
0.186	16241139
0.187	16241139
0.188	16241139
0.189	16241139
0.19	16241139
0.191	16241139
0.192	16241139
0.193	15476044
0.194	15476044
0.195	15476044
0.196	15476044
0.197	15476044
0.198	15476044
0.199	15476044
0.2	15476044
0.201	15476044
0.202	15476044
0.203	15476044
0.204	14846996
0.205	14846996
0.206	14846996
0.207	14846996
0.208	14846996
0.209	14846996
0.21	14846996
0.211	14846996
0.212	14846996
0.213	14846996
0.214	14846996
0.215	14451787
0.216	14451787
0.217	14451787
0.218	14451787
0.219	14451787
0.22	14451787
0.221	14451787
0.222	14451787
0.223	14451787
0.224	14451787
0.225	13919307
0.226	13919307
0.227	13919307
0.228	13919307
0.229	13919307
0.23	13919307
0.231	13919307
0.232	13919307
0.233	13919307
0.234	13919307
0.235	13903037
0.236	13903037
0.237	13903037
0.238	13903037
0.239	13903037
0.24	13903037
0.241	13903037
0.242	13903037
0.243	13903037
0.244	13903037
0.245	13209377
0.246	13209377
0.247	13209377
0.248	13209377
0.249	13209377
0.25	13209377
0.251	13209377
0.252	13209377
0.253	13209377
0.254	13209377
0.255	12871547
0.256	12871547
0.257	12871547
0.258	12871547
0.259	12871547
0.26	12871547
0.261	12871547
0.262	12871547
0.263	12871547
0.264	12617156
0.265	12617156
0.266	12617156
0.267	12617156
0.268	12617156
0.269	12617156
0.27	12617156
0.271	12617156
0.272	12617156
0.273	11965136
0.274	11965136
0.275	11965136
0.276	11965136
0.277	11965136
0.278	11965136
0.279	11965136
0.28	11965136
0.281	11965136
0.282	11486678
0.283	11486678
0.284	11486678
0.285	11486678
0.286	11486678
0.287	11486678
0.288	11486678
0.289	11486678
0.29	11254498
0.291	11254498
0.292	11254498
0.293	11254498
0.294	11254498
0.295	11254498
0.296	11254498
0.297	11254498
0.298	11095975
0.299	11095975
0.3	11095975
0.301	11095975
0.302	11095975
0.303	11095975
0.304	11095975
0.305	11095975
0.306	10345014
0.307	10345014
0.308	10345014
0.309	10345014
0.31	10345014
0.311	10345014
0.312	10345014
0.313	9760416
0.314	9760416
0.315	9760416
0.316	9760416
0.317	9760416
0.318	9760416
0.319	9760416
0.32	9660295
0.321	9660295
0.322	9660295
0.323	9660295
0.324	9660295
0.325	9660295
0.326	9660295
0.327	9623198
0.328	9623198
0.329	9623198
0.33	9623198
0.331	9623198
0.332	9623198
0.333	9623198
0.334	9593074
0.335	9593074
0.336	9593074
0.337	9593074
0.338	9593074
0.339	9593074
0.34	9593074
0.341	9482955
0.342	9482955
0.343	9482955
0.344	9482955
0.345	9482955
0.346	9482955
0.347	9482955
0.348	9324243
0.349	9324243
0.35	9324243
0.351	9324243
0.352	9324243
0.353	9324243
0.354	9324243
0.355	9045065
0.356	9045065
0.357	9045065
0.358	9045065
0.359	9045065
0.36	9045065
0.361	9001794
0.362	9001794
0.363	9001794
0.364	9001794
0.365	9001794
0.366	9001794
0.367	9001794
0.368	8989497
0.369	8989497
0.37	8989497
0.371	8989497
0.372	8989497
0.373	8989497
0.374	8933395
0.375	8933395
0.376	8933395
0.377	8933395
0.378	8933395
0.379	8933395
0.38	8933395
0.381	8913792
0.382	8913792
0.383	8913792
0.384	8913792
0.385	8913792
0.386	8913792
0.387	8685707
0.388	8685707
0.389	8685707
0.39	8685707
0.391	8685707
0.392	8685707
0.393	8402647
0.394	8402647
0.395	8402647
0.396	8402647
0.397	8402647
0.398	8402647
0.399	8402385
0.4	8402385
0.401	8402385
0.402	8402385
0.403	8402385
0.404	8402385
0.405	8402385
0.406	8109863
0.407	8109863
0.408	8109863
0.409	8109863
0.41	8109863
0.411	7878018
0.412	7878018
0.413	7878018
0.414	7878018
0.415	7878018
0.416	7878018
0.417	7730342
0.418	7730342
0.419	7730342
0.42	7730342
0.421	7730342
0.422	7730342
0.423	7666954
0.424	7666954
0.425	7666954
0.426	7666954
0.427	7666954
0.428	7586618
0.429	7586618
0.43	7586618
0.431	7586618
0.432	7586618
0.433	7586618
0.434	7550925
0.435	7550925
0.436	7550925
0.437	7550925
0.438	7550925
0.439	7543122
0.44	7543122
0.441	7543122
0.442	7543122
0.443	7543122
0.444	7344506
0.445	7344506
0.446	7344506
0.447	7344506
0.448	7344506
0.449	7344506
0.45	7312422
0.451	7312422
0.452	7312422
0.453	7312422
0.454	7312422
0.455	7167230
0.456	7167230
0.457	7167230
0.458	7167230
0.459	7167230
0.46	7141568
0.461	7141568
0.462	7141568
0.463	7141568
0.464	7141568
0.465	6973963
0.466	6973963
0.467	6973963
0.468	6973963
0.469	6973963
0.47	6851793
0.471	6851793
0.472	6851793
