fraction	Nx_length
0.001	135718641
0.002	135718641
0.003	135718641
0.004	135718641
0.005	135718641
0.006	135718641
0.007	135718641
0.008	135718641
0.009	135718641
0.01	135718641
0.011	135718641
0.012	135718641
0.013	135718641
0.014	135718641
0.015	135718641
0.016	135718641
0.017	135718641
0.018	135718641
0.019	135718641
0.02	135718641
0.021	135718641
0.022	135718641
0.023	135718641
0.024	135718641
0.025	135718641
0.026	135718641
0.027	135718641
0.028	135718641
0.029	135718641
0.03	135718641
0.031	135718641
0.032	135718641
0.033	135718641
0.034	135718641
0.035	135718641
0.036	135718641
0.037	135718641
0.038	135718641
0.039	135718641
0.04	135718641
0.041	135718641
0.042	135718641
0.043	135718641
0.044	135718641
0.045	135718641
0.046	135718641
0.047	135718641
0.048	135718641
0.049	135718641
0.05	135718641
0.051	135718641
0.052	135718641
0.053	135718641
0.054	135718641
0.055	135718641
0.056	135718641
0.057	135718641
0.058	135718641
0.059	135718641
0.06	135718641
0.061	135718641
0.062	135718641
0.063	135718641
0.064	135718641
0.065	135718641
0.066	135718641
0.067	135718641
0.068	135718641
0.069	135718641
0.07	135718641
0.071	135718641
0.072	135718641
0.073	135718641
0.074	135718641
0.075	135718641
0.076	135718641
0.077	135718641
0.078	135718641
0.079	135718641
0.08	135718641
0.081	135718641
0.082	135718641
0.083	135718641
0.084	135718641
0.085	135718641
0.086	135718641
0.087	135718641
0.088	135718641
0.089	135718641
0.09	135718641
0.091	135718641
0.092	135718641
0.093	135718641
0.094	135718641
0.095	123560741
0.096	123560741
0.097	123560741
0.098	123560741
0.099	123560741
0.1	123560741
0.101	123560741
0.102	123560741
0.103	123560741
0.104	123560741
0.105	123560741
0.106	123560741
0.107	123560741
0.108	123560741
0.109	123560741
0.11	123560741
0.111	123560741
0.112	123560741
0.113	123560741
0.114	123560741
0.115	123560741
0.116	123560741
0.117	123560741
0.118	123560741
0.119	123560741
0.12	123560741
0.121	123560741
0.122	123560741
0.123	123560741
0.124	123560741
0.125	123560741
0.126	123560741
0.127	123560741
0.128	123560741
0.129	123560741
0.13	123560741
0.131	123560741
0.132	123560741
0.133	123560741
0.134	123560741
0.135	123560741
0.136	123560741
0.137	123560741
0.138	123560741
0.139	123560741
0.14	123560741
0.141	123560741
0.142	123560741
0.143	123560741
0.144	123560741
0.145	123560741
0.146	123560741
0.147	123560741
0.148	123560741
0.149	123560741
0.15	123560741
0.151	123560741
0.152	123560741
0.153	123560741
0.154	123560741
0.155	123560741
0.156	123560741
0.157	123560741
0.158	123560741
0.159	123560741
0.16	123560741
0.161	123560741
0.162	123560741
0.163	123560741
0.164	123560741
0.165	123560741
0.166	123560741
0.167	123560741
0.168	123560741
0.169	123560741
0.17	123560741
0.171	123560741
0.172	123560741
0.173	123560741
0.174	123560741
0.175	123560741
0.176	123560741
0.177	123560741
0.178	123560741
0.179	123560741
0.18	123560741
0.181	120539924
0.182	120539924
0.183	120539924
0.184	120539924
0.185	120539924
0.186	120539924
0.187	120539924
0.188	120539924
0.189	120539924
0.19	120539924
0.191	120539924
0.192	120539924
0.193	120539924
0.194	120539924
0.195	120539924
0.196	120539924
0.197	120539924
0.198	120539924
0.199	120539924
0.2	120539924
0.201	120539924
0.202	120539924
0.203	120539924
0.204	120539924
0.205	120539924
0.206	120539924
0.207	120539924
0.208	120539924
0.209	120539924
0.21	120539924
0.211	120539924
0.212	120539924
0.213	120539924
0.214	120539924
0.215	120539924
0.216	120539924
0.217	120539924
0.218	120539924
0.219	120539924
0.22	120539924
0.221	120539924
0.222	120539924
0.223	120539924
0.224	120539924
0.225	120539924
0.226	120539924
0.227	120539924
0.228	120539924
0.229	120539924
0.23	120539924
0.231	120539924
0.232	120539924
0.233	120539924
0.234	120539924
0.235	120539924
0.236	120539924
0.237	120539924
0.238	120539924
0.239	120539924
0.24	120539924
0.241	120539924
0.242	120539924
0.243	120539924
0.244	120539924
0.245	120539924
0.246	120539924
0.247	120539924
0.248	120539924
0.249	120539924
0.25	120539924
0.251	120539924
0.252	120539924
0.253	120539924
0.254	120539924
0.255	120539924
0.256	120539924
0.257	120539924
0.258	120539924
0.259	120539924
0.26	120539924
0.261	120539924
0.262	120539924
0.263	120539924
0.264	102319153
0.265	102319153
0.266	102319153
0.267	102319153
0.268	102319153
0.269	102319153
0.27	102319153
0.271	102319153
0.272	102319153
0.273	102319153
0.274	102319153
0.275	102319153
0.276	102319153
0.277	102319153
0.278	102319153
0.279	102319153
0.28	102319153
0.281	102319153
0.282	102319153
0.283	102319153
0.284	102319153
0.285	102319153
0.286	102319153
0.287	102319153
0.288	102319153
0.289	102319153
0.29	102319153
0.291	102319153
0.292	102319153
0.293	102319153
0.294	102319153
0.295	102319153
0.296	102319153
0.297	102319153
0.298	102319153
0.299	102319153
0.3	102319153
0.301	102319153
0.302	102319153
0.303	102319153
0.304	102319153
0.305	102319153
0.306	102319153
0.307	102319153
0.308	102319153
0.309	102319153
0.31	102319153
0.311	102319153
0.312	102319153
0.313	102319153
0.314	102319153
0.315	102319153
0.316	102319153
0.317	102319153
0.318	102319153
0.319	102319153
0.32	102319153
0.321	102319153
0.322	102319153
0.323	102319153
0.324	102319153
0.325	102319153
0.326	102319153
0.327	102319153
0.328	102319153
0.329	102319153
0.33	102319153
0.331	102319153
0.332	102319153
0.333	102319153
0.334	102319153
0.335	98226198
0.336	98226198
0.337	98226198
0.338	98226198
0.339	98226198
0.34	98226198
0.341	98226198
0.342	98226198
0.343	98226198
0.344	98226198
0.345	98226198
0.346	98226198
0.347	98226198
0.348	98226198
0.349	98226198
0.35	98226198
0.351	98226198
0.352	98226198
0.353	98226198
0.354	98226198
0.355	98226198
0.356	98226198
0.357	98226198
0.358	98226198
0.359	98226198
0.36	98226198
0.361	98226198
0.362	98226198
0.363	98226198
0.364	98226198
0.365	98226198
0.366	98226198
0.367	98226198
0.368	98226198
0.369	98226198
0.37	98226198
0.371	98226198
0.372	98226198
0.373	98226198
0.374	98226198
