fraction	Nx_length
0.001	250190555
0.002	250190555
0.003	250190555
0.004	250190555
0.005	250190555
0.006	250190555
0.007	250190555
0.008	250190555
0.009	250190555
0.01	250190555
0.011	250190555
0.012	250190555
0.013	250190555
0.014	250190555
0.015	250190555
0.016	250190555
0.017	250190555
0.018	250190555
0.019	250190555
0.02	250190555
0.021	250190555
0.022	250190555
0.023	250190555
0.024	250190555
0.025	250190555
0.026	250190555
0.027	250190555
0.028	250190555
0.029	250190555
0.03	250190555
0.031	250190555
0.032	250190555
0.033	250190555
0.034	250190555
0.035	250190555
0.036	250190555
0.037	250190555
0.038	250190555
0.039	250190555
0.04	250190555
0.041	250190555
0.042	250190555
0.043	250190555
0.044	250190555
0.045	250190555
0.046	250190555
0.047	250190555
0.048	250190555
0.049	250190555
0.05	250190555
0.051	250190555
0.052	250190555
0.053	250190555
0.054	250190555
0.055	250190555
0.056	250190555
0.057	250190555
0.058	250190555
0.059	250190555
0.06	250190555
0.061	250190555
0.062	250190555
0.063	228627932
0.064	228627932
0.065	228627932
0.066	228627932
0.067	228627932
0.068	228627932
0.069	228627932
0.07	228627932
0.071	228627932
0.072	228627932
0.073	228627932
0.074	228627932
0.075	228627932
0.076	228627932
0.077	228627932
0.078	228627932
0.079	228627932
0.08	228627932
0.081	228627932
0.082	228627932
0.083	228627932
0.084	228627932
0.085	228627932
0.086	228627932
0.087	228627932
0.088	228627932
0.089	228627932
0.09	228627932
0.091	228627932
0.092	228627932
0.093	228627932
0.094	228627932
0.095	228627932
0.096	228627932
0.097	228627932
0.098	228627932
0.099	228627932
0.1	228627932
0.101	228627932
0.102	228627932
0.103	228627932
0.104	228627932
0.105	228627932
0.106	228627932
0.107	228627932
0.108	228627932
0.109	228627932
0.11	228627932
0.111	228627932
0.112	228627932
0.113	228627932
0.114	228627932
0.115	228627932
0.116	228627932
0.117	228627932
0.118	228627932
0.119	228627932
0.12	211646748
0.121	211646748
0.122	211646748
0.123	211646748
0.124	211646748
0.125	211646748
0.126	211646748
0.127	211646748
0.128	211646748
0.129	211646748
0.13	211646748
0.131	211646748
0.132	211646748
0.133	211646748
0.134	211646748
0.135	211646748
0.136	211646748
0.137	211646748
0.138	211646748
0.139	211646748
0.14	211646748
0.141	211646748
0.142	211646748
0.143	211646748
0.144	211646748
0.145	211646748
0.146	211646748
0.147	211646748
0.148	211646748
0.149	211646748
0.15	211646748
0.151	211646748
0.152	211646748
0.153	211646748
0.154	211646748
0.155	211646748
0.156	211646748
0.157	211646748
0.158	211646748
0.159	211646748
0.16	211646748
0.161	211646748
0.162	211646748
0.163	211646748
0.164	211646748
0.165	211646748
0.166	211646748
0.167	211646748
0.168	211646748
0.169	211646748
0.17	211646748
0.171	211646748
0.172	211646748
0.173	179982240
0.174	179982240
0.175	179982240
0.176	179982240
0.177	179982240
0.178	179982240
0.179	179982240
0.18	179982240
0.181	179982240
0.182	179982240
0.183	179982240
0.184	179982240
0.185	179982240
0.186	179982240
0.187	179982240
0.188	179982240
0.189	179982240
0.19	179982240
0.191	179982240
0.192	179982240
0.193	179982240
0.194	179982240
0.195	179982240
0.196	179982240
0.197	179982240
0.198	179982240
0.199	179982240
0.2	179982240
0.201	179982240
0.202	179982240
0.203	179982240
0.204	179982240
0.205	179982240
0.206	179982240
0.207	179982240
0.208	179982240
0.209	179982240
0.21	179982240
0.211	179982240
0.212	179982240
0.213	179982240
0.214	179982240
0.215	179982240
0.216	179982240
0.217	179982240
0.218	175289989
0.219	175289989
0.22	175289989
0.221	175289989
0.222	175289989
0.223	175289989
0.224	175289989
0.225	175289989
0.226	175289989
0.227	175289989
0.228	175289989
0.229	175289989
0.23	175289989
0.231	175289989
0.232	175289989
0.233	175289989
0.234	175289989
0.235	175289989
0.236	175289989
0.237	175289989
0.238	175289989
0.239	175289989
0.24	175289989
0.241	175289989
0.242	175289989
0.243	175289989
0.244	175289989
0.245	175289989
0.246	175289989
0.247	175289989
0.248	175289989
0.249	175289989
0.25	175289989
0.251	175289989
0.252	175289989
0.253	175289989
0.254	175289989
0.255	175289989
0.256	175289989
0.257	175289989
0.258	175289989
0.259	175289989
0.26	175289989
0.261	175289989
0.262	158551147
0.263	158551147
0.264	158551147
0.265	158551147
0.266	158551147
0.267	158551147
0.268	158551147
0.269	158551147
0.27	158551147
0.271	158551147
0.272	158551147
0.273	158551147
0.274	158551147
0.275	158551147
0.276	158551147
0.277	158551147
0.278	158551147
0.279	158551147
0.28	158551147
0.281	158551147
0.282	158551147
0.283	158551147
0.284	158551147
0.285	158551147
0.286	158551147
0.287	158551147
0.288	158551147
0.289	158551147
0.29	158551147
0.291	158551147
0.292	158551147
0.293	158551147
0.294	158551147
0.295	158551147
0.296	158551147
0.297	158551147
0.298	158551147
0.299	158551147
0.3	158551147
0.301	158551147
0.302	148019133
0.303	148019133
0.304	148019133
0.305	148019133
0.306	148019133
0.307	148019133
0.308	148019133
0.309	148019133
0.31	148019133
0.311	148019133
0.312	148019133
0.313	148019133
0.314	148019133
0.315	148019133
0.316	148019133
0.317	148019133
0.318	148019133
0.319	148019133
0.32	148019133
0.321	148019133
0.322	148019133
0.323	148019133
0.324	148019133
0.325	148019133
0.326	148019133
0.327	148019133
0.328	148019133
0.329	148019133
0.33	148019133
0.331	148019133
0.332	148019133
0.333	148019133
0.334	148019133
0.335	148019133
0.336	148019133
0.337	148019133
0.338	148019133
0.339	147058665
0.34	147058665
0.341	147058665
0.342	147058665
0.343	147058665
0.344	147058665
0.345	147058665
0.346	147058665
0.347	147058665
0.348	147058665
0.349	147058665
0.35	147058665
0.351	147058665
0.352	147058665
0.353	147058665
0.354	147058665
0.355	147058665
0.356	147058665
0.357	147058665
0.358	147058665
0.359	147058665
0.36	147058665
0.361	147058665
0.362	147058665
0.363	147058665
0.364	147058665
0.365	147058665
0.366	147058665
0.367	147058665
0.368	147058665
0.369	147058665
0.37	147058665
0.371	147058665
0.372	147058665
0.373	147058665
0.374	147058665
0.375	147058665
0.376	144736363
0.377	144736363
0.378	144736363
0.379	144736363
0.38	144736363
0.381	144736363
0.382	144736363
0.383	144736363
0.384	144736363
0.385	144736363
0.386	144736363
0.387	144736363
0.388	144736363
0.389	144736363
0.39	144736363
0.391	144736363
0.392	144736363
0.393	144736363
0.394	144736363
0.395	144736363
