fraction	Nx_length
0.001	198562713
0.002	198562713
0.003	198562713
0.004	198562713
0.005	198562713
0.006	198562713
0.007	198562713
0.008	198562713
0.009	198562713
0.01	198562713
0.011	198562713
0.012	198562713
0.013	198562713
0.014	198562713
0.015	198562713
0.016	198562713
0.017	198562713
0.018	198562713
0.019	198562713
0.02	198562713
0.021	198562713
0.022	198562713
0.023	198562713
0.024	198562713
0.025	198562713
0.026	198562713
0.027	198562713
0.028	198562713
0.029	198562713
0.03	198562713
0.031	198562713
0.032	198562713
0.033	198562713
0.034	198562713
0.035	198562713
0.036	198562713
0.037	198562713
0.038	198562713
0.039	198562713
0.04	198562713
0.041	198562713
0.042	198562713
0.043	198562713
0.044	198562713
0.045	198562713
0.046	198562713
0.047	198562713
0.048	198562713
0.049	198562713
0.05	198562713
0.051	198562713
0.052	198562713
0.053	198562713
0.054	198562713
0.055	198562713
0.056	198562713
0.057	198562713
0.058	198562713
0.059	198562713
0.06	198562713
0.061	198562713
0.062	172357027
0.063	172357027
0.064	172357027
0.065	172357027
0.066	172357027
0.067	172357027
0.068	172357027
0.069	172357027
0.07	172357027
0.071	172357027
0.072	172357027
0.073	172357027
0.074	172357027
0.075	172357027
0.076	172357027
0.077	172357027
0.078	172357027
0.079	172357027
0.08	172357027
0.081	172357027
0.082	172357027
0.083	172357027
0.084	172357027
0.085	172357027
0.086	172357027
0.087	172357027
0.088	172357027
0.089	172357027
0.09	172357027
0.091	172357027
0.092	172357027
0.093	172357027
0.094	172357027
0.095	172357027
0.096	172357027
0.097	172357027
0.098	172357027
0.099	172357027
0.1	172357027
0.101	172357027
0.102	172357027
0.103	172357027
0.104	172357027
0.105	172357027
0.106	172357027
0.107	172357027
0.108	172357027
0.109	172357027
0.11	172357027
0.111	172357027
0.112	172357027
0.113	172357027
0.114	172357027
0.115	142684034
0.116	142684034
0.117	142684034
0.118	142684034
0.119	142684034
0.12	142684034
0.121	142684034
0.122	142684034
0.123	142684034
0.124	142684034
0.125	142684034
0.126	142684034
0.127	142684034
0.128	142684034
0.129	142684034
0.13	142684034
0.131	142684034
0.132	142684034
0.133	142684034
0.134	142684034
0.135	142684034
0.136	142684034
0.137	142684034
0.138	142684034
0.139	142684034
0.14	142684034
0.141	142684034
0.142	142684034
0.143	142684034
0.144	142684034
0.145	142684034
0.146	142684034
0.147	142684034
0.148	142684034
0.149	142684034
0.15	142684034
0.151	142684034
0.152	142684034
0.153	142684034
0.154	142684034
0.155	142684034
0.156	142684034
0.157	142684034
0.158	142684034
0.159	141859166
0.16	141859166
0.161	141859166
0.162	141859166
0.163	141859166
0.164	141859166
0.165	141859166
0.166	141859166
0.167	141859166
0.168	141859166
0.169	141859166
0.17	141859166
0.171	141859166
0.172	141859166
0.173	141859166
0.174	141859166
0.175	141859166
0.176	141859166
0.177	141859166
0.178	141859166
0.179	141859166
0.18	141859166
0.181	141859166
0.182	141859166
0.183	141859166
0.184	141859166
0.185	141859166
0.186	141859166
0.187	141859166
0.188	141859166
0.189	141859166
0.19	141859166
0.191	141859166
0.192	141859166
0.193	141859166
0.194	141859166
0.195	141859166
0.196	141859166
0.197	141859166
0.198	141859166
0.199	141859166
0.2	141859166
0.201	141859166
0.202	137863001
0.203	137863001
0.204	137863001
0.205	137863001
0.206	137863001
0.207	137863001
0.208	137863001
0.209	137863001
0.21	137863001
0.211	137863001
0.212	137863001
0.213	137863001
0.214	137863001
0.215	137863001
0.216	137863001
0.217	137863001
0.218	137863001
0.219	137863001
0.22	137863001
0.221	137863001
0.222	137863001
0.223	137863001
0.224	137863001
0.225	137863001
0.226	137863001
0.227	137863001
0.228	137863001
0.229	137863001
0.23	137863001
0.231	137863001
0.232	137863001
0.233	137863001
0.234	137863001
0.235	137863001
0.236	137863001
0.237	137863001
0.238	137863001
0.239	137863001
0.24	137863001
0.241	137863001
0.242	137863001
0.243	137863001
0.244	137863001
0.245	112544244
0.246	112544244
0.247	112544244
0.248	112544244
0.249	112544244
0.25	112544244
0.251	112544244
0.252	112544244
0.253	112544244
0.254	112544244
0.255	112544244
0.256	112544244
0.257	112544244
0.258	112544244
0.259	112544244
0.26	112544244
0.261	112544244
0.262	112544244
0.263	112544244
0.264	112544244
0.265	112544244
0.266	112544244
0.267	112544244
0.268	112544244
0.269	112544244
0.27	112544244
0.271	112544244
0.272	112544244
0.273	112544244
0.274	112544244
0.275	112544244
0.276	112544244
0.277	112544244
0.278	112544244
0.279	101158274
0.28	101158274
0.281	101158274
0.282	101158274
0.283	101158274
0.284	101158274
0.285	101158274
0.286	101158274
0.287	101158274
0.288	101158274
0.289	101158274
0.29	101158274
0.291	101158274
0.292	101158274
0.293	101158274
0.294	101158274
0.295	101158274
0.296	101158274
0.297	101158274
0.298	101158274
0.299	101158274
0.3	101158274
0.301	101158274
0.302	101158274
0.303	101158274
0.304	101158274
0.305	101158274
0.306	101158274
0.307	101158274
0.308	101158274
0.309	101158274
0.31	92458575
0.311	92458575
0.312	92458575
0.313	92458575
0.314	92458575
0.315	92458575
0.316	92458575
0.317	92458575
0.318	92458575
0.319	92458575
0.32	92458575
0.321	92458575
0.322	92458575
0.323	92458575
0.324	92458575
0.325	92458575
0.326	92458575
0.327	92458575
0.328	92458575
0.329	92458575
0.33	92458575
0.331	92458575
0.332	92458575
0.333	92458575
0.334	92458575
0.335	92458575
0.336	92458575
0.337	92458575
0.338	92458575
0.339	89404954
0.34	89404954
0.341	89404954
0.342	89404954
0.343	89404954
0.344	89404954
0.345	89404954
0.346	89404954
0.347	89404954
0.348	89404954
0.349	89404954
0.35	89404954
0.351	89404954
0.352	89404954
0.353	89404954
0.354	89404954
0.355	89404954
0.356	89404954
0.357	89404954
0.358	89404954
0.359	89404954
0.36	89404954
0.361	89404954
0.362	89404954
0.363	89404954
0.364	89404954
0.365	89404954
0.366	87304332
0.367	87304332
0.368	87304332
0.369	87304332
0.37	87304332
0.371	87304332
0.372	87304332
0.373	87304332
0.374	87304332
0.375	87304332
0.376	87304332
0.377	87304332
0.378	87304332
0.379	87304332
0.38	87304332
0.381	87304332
0.382	87304332
0.383	87304332
0.384	87304332
0.385	87304332
0.386	87304332
0.387	87304332
0.388	87304332
0.389	87304332
0.39	87304332
0.391	87304332
0.392	87304332
0.393	83457822
0.394	83457822
0.395	83457822
0.396	83457822
0.397	83457822
0.398	83457822
0.399	83457822
0.4	83457822
0.401	83457822
0.402	83457822
0.403	83457822
0.404	83457822
0.405	83457822
0.406	83457822
0.407	83457822
0.408	83457822
0.409	83457822
0.41	83457822
0.411	83457822
0.412	83457822
0.413	83457822
0.414	83457822
0.415	83457822
0.416	83457822
0.417	83457822
0.418	83457822
0.419	76075720
0.42	76075720
0.421	76075720
0.422	76075720
0.423	76075720
0.424	76075720
0.425	76075720
0.426	76075720
0.427	76075720
0.428	76075720
0.429	76075720
0.43	76075720
0.431	76075720
0.432	76075720
0.433	76075720
0.434	76075720
0.435	76075720
0.436	76075720
0.437	76075720
0.438	76075720
0.439	76075720
0.44	76075720
0.441	76075720
0.442	75454724
0.443	75454724
0.444	75454724
0.445	75454724
0.446	75454724
0.447	75454724
0.448	75454724
0.449	75454724
0.45	75454724
0.451	75454724
0.452	75454724
0.453	75454724
0.454	75454724
0.455	75454724
0.456	75454724
0.457	75454724
0.458	75454724
0.459	75454724
0.46	75454724
0.461	75454724
0.462	75454724
0.463	75454724
0.464	75454724
0.465	73985925
0.466	73985925
0.467	73985925
0.468	73985925
0.469	73985925
0.47	73985925
0.471	73985925
0.472	73985925
0.473	73985925
0.474	73985925
0.475	73985925
0.476	73985925
0.477	73985925
0.478	73985925
0.479	73985925
0.48	73985925
0.481	73985925
0.482	73985925
0.483	73985925
0.484	73985925
0.485	73985925
0.486	73985925
0.487	73985925
0.488	66821466
0.489	66821466
0.49	66821466
0.491	66821466
0.492	66821466
0.493	66821466
0.494	66821466
0.495	66821466
0.496	66821466
0.497	66821466
0.498	66821466
0.499	66821466
0.5	66821466
0.501	66821466
0.502	66821466
0.503	66821466
0.504	66821466
0.505	66821466
0.506	66821466
0.507	66821466
0.508	66821466
0.509	66547297
0.51	66547297
0.511	66547297
0.512	66547297
0.513	66547297
0.514	66547297
0.515	66547297
0.516	66547297
0.517	66547297
0.518	66547297
0.519	66547297
0.52	66547297
0.521	66547297
0.522	66547297
0.523	66547297
0.524	66547297
0.525	66547297
0.526	66547297
0.527	66547297
0.528	66547297
0.529	65719261
0.53	65719261
0.531	65719261
0.532	65719261
0.533	65719261
0.534	65719261
0.535	65719261
0.536	65719261
0.537	65719261
0.538	65719261
0.539	65719261
0.54	65719261
0.541	65719261
0.542	65719261
0.543	65719261
0.544	65719261
0.545	65719261
0.546	65719261
0.547	65719261
0.548	65719261
0.549	65719261
0.55	60743015
0.551	60743015
0.552	60743015
0.553	60743015
0.554	60743015
0.555	60743015
0.556	60743015
0.557	60743015
0.558	60743015
0.559	60743015
0.56	60743015
0.561	60743015
0.562	60743015
0.563	60743015
0.564	60743015
0.565	60743015
0.566	60743015
0.567	60743015
0.568	55114208
0.569	55114208
0.57	55114208
0.571	55114208
0.572	55114208
0.573	55114208
0.574	55114208
0.575	55114208
0.576	55114208
0.577	55114208
0.578	55114208
0.579	55114208
0.58	55114208
0.581	55114208
0.582	55114208
0.583	55114208
0.584	55114208
0.585	53465519
0.586	53465519
0.587	53465519
0.588	53465519
0.589	53465519
0.59	53465519
0.591	53465519
0.592	53465519
0.593	53465519
0.594	53465519
0.595	53465519
0.596	53465519
0.597	53465519
0.598	53465519
0.599	53465519
0.6	53465519
0.601	53465519
0.602	53379129
0.603	53379129
0.604	53379129
0.605	53379129
0.606	53379129
