fraction	Nx_length
0.001	22199025
0.002	22199025
0.003	22199025
0.004	21497399
0.005	21497399
0.006	21497399
0.007	21497399
0.008	18634841
0.009	18634841
0.01	18634841
0.011	16841788
0.012	16841788
0.013	16841788
0.014	16382029
0.015	16382029
0.016	16317894
0.017	16317894
0.018	16317894
0.019	14852922
0.02	14852922
0.021	14852922
0.022	14402982
0.023	14402982
0.024	14149753
0.025	14149753
0.026	13998125
0.027	13998125
0.028	13998125
0.029	13885638
0.03	13885638
0.031	13774746
0.032	13774746
0.033	13630750
0.034	13630750
0.035	13630750
0.036	13605612
0.037	13605612
0.038	13164322
0.039	13164322
0.04	13052764
0.041	13052764
0.042	12964412
0.043	12964412
0.044	12964412
0.045	12941086
0.046	12941086
0.047	12721563
0.048	12721563
0.049	12629320
0.05	12629320
0.051	12614231
0.052	12614231
0.053	12123890
0.054	12123890
0.055	11969973
0.056	11969973
0.057	11915233
0.058	11915233
0.059	11657419
0.06	11657419
0.061	11622078
0.062	11622078
0.063	11555533
0.064	11555533
0.065	11530866
0.066	11530866
0.067	11513897
0.068	11513897
0.069	11508804
0.07	11508804
0.071	11445118
0.072	11445118
0.073	10948228
0.074	10882540
0.075	10882540
0.076	10833018
0.077	10833018
0.078	10764825
0.079	10764825
0.08	10759827
0.081	10759827
0.082	10708219
0.083	10658695
0.084	10658695
0.085	10598177
0.086	10598177
0.087	10595570
0.088	10595570
0.089	10572172
0.09	10370239
0.091	10370239
0.092	10319805
0.093	10319805
0.094	10286336
0.095	10286336
0.096	10218341
0.097	10144067
0.098	10144067
0.099	10001166
0.1	10001166
0.101	9926180
0.102	9874991
0.103	9874991
0.104	9846949
0.105	9846949
0.106	9843108
0.107	9828829
0.108	9828829
0.109	9781761
0.11	9781761
0.111	9718357
0.112	9670244
0.113	9670244
0.114	9403974
0.115	9367738
0.116	9367738
0.117	9349378
0.118	9349378
0.119	9345536
0.12	8988824
0.121	8988824
0.122	8937530
0.123	8908409
0.124	8908409
0.125	8875178
0.126	8871335
0.127	8871335
0.128	8855300
0.129	8806864
0.13	8792978
0.131	8792978
0.132	8775529
0.133	8675293
0.134	8675293
0.135	8662822
0.136	8651570
0.137	8651570
0.138	8490035
0.139	8427956
0.14	8427956
0.141	8422041
0.142	8392404
0.143	8372667
0.144	8372667
0.145	8261254
0.146	8254216
0.147	8254216
0.148	8238221
0.149	8237744
0.15	8196341
0.151	8196341
0.152	8145379
0.153	8142240
0.154	8133865
0.155	8133865
0.156	8129679
0.157	8125095
0.158	8119380
0.159	8119380
0.16	8103813
0.161	8076388
0.162	8076388
0.163	8068516
0.164	8058259
0.165	8057897
0.166	8057897
0.167	7982585
0.168	7947418
0.169	7868555
0.17	7868555
0.171	7825534
0.172	7768413
0.173	7596450
0.174	7534698
0.175	7534698
0.176	7515144
0.177	7441221
0.178	7423937
0.179	7417381
0.18	7417381
0.181	7414105
0.182	7367466
0.183	7357900
0.184	7319398
0.185	7319398
0.186	7304079
0.187	7286258
0.188	7284014
0.189	7255062
0.19	7246863
0.191	7246863
0.192	7246511
0.193	7227800
0.194	7179063
0.195	7132387
0.196	7093638
0.197	7093638
0.198	7075918
0.199	7068774
0.2	7031032
0.201	7020121
0.202	6969465
0.203	6969465
0.204	6947957
0.205	6940267
0.206	6929414
0.207	6856720
0.208	6852180
0.209	6852127
0.21	6837162
0.211	6837162
0.212	6805774
0.213	6790413
0.214	6739196
0.215	6713397
0.216	6709983
0.217	6705522
0.218	6665343
0.219	6608291
0.22	6608291
0.221	6603783
0.222	6597614
0.223	6591414
0.224	6573447
0.225	6568221
0.226	6546821
0.227	6528514
0.228	6523148
0.229	6501235
0.23	6450789
0.231	6450789
0.232	6449470
0.233	6441912
0.234	6421861
0.235	6398240
0.236	6367534
0.237	6356418
0.238	6356150
0.239	6343133
0.24	6268148
0.241	6245076
0.242	6244566
0.243	6226943
0.244	6225167
0.245	6222089
0.246	6219160
0.247	6218786
0.248	6210839
0.249	6193612
0.25	6160618
0.251	6160618
0.252	6159064
0.253	6159009
0.254	6155960
0.255	6132614
0.256	6127843
0.257	6127046
0.258	6103807
0.259	6064291
0.26	6021688
0.261	6000388
0.262	5995536
0.263	5989156
0.264	5981664
0.265	5956924
0.266	5947645
0.267	5914841
0.268	5885377
0.269	5884450
0.27	5881298
0.271	5874938
0.272	5871818
0.273	5869125
0.274	5866455
0.275	5865953
0.276	5852369
0.277	5821457
0.278	5816894
0.279	5807249
0.28	5801155
0.281	5796756
0.282	5793437
0.283	5789414
0.284	5780574
0.285	5776737
0.286	5770793
0.287	5732637
0.288	5721920
0.289	5687119
0.29	5666047
0.291	5655174
0.292	5654334
0.293	5648456
0.294	5644248
0.295	5627748
0.296	5608460
0.297	5589028
0.298	5585043
0.299	5562412
0.3	5550158
0.301	5548677
0.302	5547636
0.303	5535981
0.304	5527104
0.305	5497812
0.306	5495042
0.307	5494703
0.308	5475897
0.309	5470842
0.31	5416844
0.311	5405807
0.312	5357251
0.313	5329134
0.314	5312076
0.315	5295149
0.316	5277133
0.317	5267529
0.318	5265806
0.319	5240922
0.32	5201557
0.321	5170889
0.322	5163518
0.323	5152997
0.324	5133691
0.325	5126231
0.326	5121691
0.327	5119017
0.328	5108221
0.329	5094860
0.33	5088852
0.331	5033080
0.332	5018879
0.333	5012245
0.334	5003857
0.335	4991589
0.336	4978517
0.337	4917519
0.338	4911830
0.339	4903693
0.34	4897969
0.341	4888700
0.342	4878198
0.343	4867901
0.344	4842361
0.345	4830591
0.346	4827459
0.347	4827159
0.348	4816880
0.349	4810004
0.35	4789438
0.351	4761825
0.352	4756752
0.353	4751151
0.354	4750130
0.355	4748816
0.356	4741646
0.357	4728408
0.358	4709446
0.359	4699801
0.36	4695648
0.361	4682869
0.362	4682788
0.363	4675661
0.364	4655297
0.365	4646968
0.366	4638353
0.367	4637431
0.368	4622533
0.369	4602294
0.37	4596030
0.371	4572035
0.372	4565514
0.373	4558696
0.374	4534284
0.375	4510524
0.376	4504149
0.377	4488302
0.378	4484811
0.379	4474590
0.38	4435557
0.381	4424731
0.382	4409652
0.383	4390107
0.384	4386260
0.385	4385997
0.386	4375893
0.387	4364045
0.388	4356397
0.389	4320667
0.39	4312798
0.391	4292644
0.392	4291871
0.393	4290343
0.394	4272573
0.395	4263281
0.396	4258005
0.397	4254809
0.398	4239345
0.399	4221849
0.4	4220112
0.401	4205266
0.402	4204757
0.403	4181683
0.404	4177918
0.405	4171039
0.406	4157261
0.407	4152210
0.408	4116411
0.409	4098619
0.41	4095512
0.411	4093166
0.412	4090544
0.413	4090478
0.414	4061684
0.415	4056901
0.416	4055499
0.417	4043605
0.418	4041757
0.419	4025325
0.42	4016963
0.421	4015621
0.422	4013146
0.423	3984259
0.424	3980882
0.425	3963038
0.426	3962494
0.427	3949387
0.428	3946356
0.429	3941480
0.43	3927657
0.431	3920170
0.432	3898619
0.433	3893922
0.434	3885103
0.435	3875255
0.436	3866082
0.437	3852463
0.438	3845036
0.439	3842953
0.44	3836629
0.441	3833959
0.442	3827171
0.443	3795696
0.444	3792331
0.445	3789053
0.446	3788867
0.447	3781359
0.448	3780782
0.449	3775881
0.45	3773423
0.451	3763872
0.452	3759858
0.453	3755366
0.454	3741042
0.455	3735514
0.456	3728464
0.457	3726636
0.458	3721069
0.459	3718737
0.46	3703274
0.461	3693755
0.462	3686413
0.463	3683156
0.464	3677217
0.465	3658716
0.466	3654404
0.467	3637741
0.468	3630202
0.469	3629441
0.47	3617432
0.471	3605822
0.472	3601844
0.473	3592011
0.474	3587345
0.475	3580714
0.476	3568909
0.477	3552371
0.478	3548389
0.479	3536594
0.48	3523661
