fraction	Nx_length
0.001	71726202
0.002	71726202
0.003	71726202
0.004	71726202
0.005	71726202
0.006	71726202
0.007	71726202
0.008	71726202
0.009	71726202
0.01	71726202
0.011	71726202
0.012	71726202
0.013	71726202
0.014	71726202
0.015	71726202
0.016	71726202
0.017	71726202
0.018	71726202
0.019	71726202
0.02	71726202
0.021	71726202
0.022	71726202
0.023	71726202
0.024	71726202
0.025	71726202
0.026	71726202
0.027	71726202
0.028	71205398
0.029	71205398
0.03	71205398
0.031	71205398
0.032	71205398
0.033	71205398
0.034	71205398
0.035	71205398
0.036	71205398
0.037	71205398
0.038	71205398
0.039	71205398
0.04	71205398
0.041	71205398
0.042	71205398
0.043	71205398
0.044	71205398
0.045	71205398
0.046	71205398
0.047	71205398
0.048	71205398
0.049	71205398
0.05	71205398
0.051	71205398
0.052	71205398
0.053	71205398
0.054	71205398
0.055	71205398
0.056	71032149
0.057	71032149
0.058	71032149
0.059	71032149
0.06	71032149
0.061	71032149
0.062	71032149
0.063	71032149
0.064	71032149
0.065	71032149
0.066	71032149
0.067	71032149
0.068	71032149
0.069	71032149
0.07	71032149
0.071	71032149
0.072	71032149
0.073	71032149
0.074	71032149
0.075	71032149
0.076	71032149
0.077	71032149
0.078	71032149
0.079	71032149
0.08	71032149
0.081	71032149
0.082	71032149
0.083	71032149
0.084	70463502
0.085	70463502
0.086	70463502
0.087	70463502
0.088	70463502
0.089	70463502
0.09	70463502
0.091	70463502
0.092	70463502
0.093	70463502
0.094	70463502
0.095	70463502
0.096	70463502
0.097	70463502
0.098	70463502
0.099	70463502
0.1	70463502
0.101	70463502
0.102	70463502
0.103	70463502
0.104	70463502
0.105	70463502
0.106	70463502
0.107	70463502
0.108	70463502
0.109	70463502
0.11	70463502
0.111	69157370
0.112	69157370
0.113	69157370
0.114	69157370
0.115	69157370
0.116	69157370
0.117	69157370
0.118	69157370
0.119	69157370
0.12	69157370
0.121	69157370
0.122	69157370
0.123	69157370
0.124	69157370
0.125	69157370
0.126	69157370
0.127	69157370
0.128	69157370
0.129	69157370
0.13	69157370
0.131	69157370
0.132	69157370
0.133	69157370
0.134	69157370
0.135	69157370
0.136	69157370
0.137	69157370
0.138	62860120
0.139	62860120
0.14	62860120
0.141	62860120
0.142	62860120
0.143	62860120
0.144	62860120
0.145	62860120
0.146	62860120
0.147	62860120
0.148	62860120
0.149	62860120
0.15	62860120
0.151	62860120
0.152	62860120
0.153	62860120
0.154	62860120
0.155	62860120
0.156	62860120
0.157	62860120
0.158	62860120
0.159	62860120
0.16	62860120
0.161	62860120
0.162	62860120
0.163	60589766
0.164	60589766
0.165	60589766
0.166	60589766
0.167	60589766
0.168	60589766
0.169	60589766
0.17	60589766
0.171	60589766
0.172	60589766
0.173	60589766
0.174	60589766
0.175	60589766
0.176	60589766
0.177	60589766
0.178	60589766
0.179	60589766
0.18	60589766
0.181	60589766
0.182	60589766
0.183	60589766
0.184	60589766
0.185	60589766
0.186	51107442
0.187	51107442
0.188	51107442
0.189	51107442
0.19	51107442
0.191	51107442
0.192	51107442
0.193	51107442
0.194	51107442
0.195	51107442
0.196	51107442
0.197	51107442
0.198	51107442
0.199	51107442
0.2	51107442
0.201	51107442
0.202	51107442
0.203	51107442
0.204	51107442
0.205	51107442
0.206	48701000
0.207	48701000
0.208	48701000
0.209	48701000
0.21	48701000
0.211	48701000
0.212	48701000
0.213	48701000
0.214	48701000
0.215	48701000
0.216	48701000
0.217	48701000
0.218	48701000
0.219	48701000
0.22	48701000
0.221	48701000
0.222	48701000
0.223	48701000
0.224	48701000
0.225	47502373
0.226	47502373
0.227	47502373
0.228	47502373
0.229	47502373
0.23	47502373
0.231	47502373
0.232	47502373
0.233	47502373
0.234	47502373
0.235	47502373
0.236	47502373
0.237	47502373
0.238	47502373
0.239	47502373
0.24	47502373
0.241	47502373
0.242	47502373
0.243	47502373
0.244	44139000
0.245	44139000
0.246	44139000
0.247	44139000
0.248	44139000
0.249	44139000
0.25	44139000
0.251	44139000
0.252	44139000
0.253	44139000
0.254	44139000
0.255	44139000
0.256	44139000
0.257	44139000
0.258	44139000
0.259	44139000
0.26	44139000
0.261	41663004
0.262	41663004
0.263	41663004
0.264	41663004
0.265	41663004
0.266	41663004
0.267	41663004
0.268	41663004
0.269	41663004
0.27	41663004
0.271	41663004
0.272	41663004
0.273	41663004
0.274	41663004
0.275	41663004
0.276	41663004
0.277	39034000
0.278	39034000
0.279	39034000
0.28	39034000
0.281	39034000
0.282	39034000
0.283	39034000
0.284	39034000
0.285	39034000
0.286	39034000
0.287	39034000
0.288	39034000
0.289	39034000
0.29	39034000
0.291	39034000
0.292	39034000
0.293	38409396
0.294	38409396
0.295	38409396
0.296	38409396
0.297	38409396
0.298	38409396
0.299	38409396
0.3	38409396
0.301	38409396
0.302	38409396
0.303	38409396
0.304	38409396
0.305	38409396
0.306	38409396
0.307	38409396
0.308	37607000
0.309	37607000
0.31	37607000
0.311	37607000
0.312	37607000
0.313	37607000
0.314	37607000
0.315	37607000
0.316	37607000
0.317	37607000
0.318	37607000
0.319	37607000
0.32	37607000
0.321	37607000
0.322	36810168
0.323	36810168
0.324	36810168
0.325	36810168
0.326	36810168
0.327	36810168
0.328	36810168
0.329	36810168
0.33	36810168
0.331	36810168
0.332	36810168
0.333	36810168
0.334	36810168
0.335	36810168
0.336	36810168
0.337	32108481
0.338	32108481
0.339	32108481
0.34	32108481
0.341	32108481
0.342	32108481
0.343	32108481
0.344	32108481
0.345	32108481
0.346	32108481
0.347	32108481
0.348	32108481
0.349	32045000
0.35	32045000
0.351	32045000
0.352	32045000
0.353	32045000
0.354	32045000
0.355	32045000
0.356	32045000
0.357	32045000
0.358	32045000
0.359	32045000
0.36	32045000
0.361	32045000
0.362	31876787
0.363	31876787
0.364	31876787
0.365	31876787
0.366	31876787
0.367	31876787
0.368	31876787
0.369	31876787
0.37	31876787
0.371	31876787
0.372	31876787
0.373	31876787
0.374	30668000
0.375	30668000
0.376	30668000
0.377	30668000
0.378	30668000
0.379	30668000
0.38	30668000
0.381	30668000
0.382	30668000
0.383	30668000
0.384	30668000
0.385	30668000
0.386	29859000
0.387	29859000
0.388	29859000
0.389	29859000
0.39	29859000
0.391	29859000
0.392	29859000
0.393	29859000
0.394	29859000
0.395	29859000
0.396	29859000
0.397	29859000
0.398	29548999
0.399	29548999
0.4	29548999
0.401	29548999
0.402	29548999
0.403	29548999
0.404	29548999
0.405	29548999
0.406	29548999
0.407	29548999
0.408	29548999
0.409	28659425
0.41	28659425
0.411	28659425
0.412	28659425
0.413	28659425
0.414	28659425
0.415	28659425
0.416	28659425
0.417	28659425
0.418	28659425
0.419	28659425
0.42	27775466
0.421	27775466
0.422	27775466
0.423	27775466
0.424	27775466
0.425	27775466
0.426	27775466
0.427	27775466
0.428	27775466
0.429	27775466
0.43	27775466
0.431	26629393
0.432	26629393
0.433	26629393
0.434	26629393
0.435	26629393
0.436	26629393
0.437	26629393
0.438	26629393
0.439	26629393
0.44	26629393
0.441	26135761
0.442	26135761
0.443	26135761
0.444	26135761
0.445	26135761
0.446	26135761
0.447	26135761
0.448	26135761
0.449	26135761
0.45	26135761
0.451	26135761
0.452	25776333
0.453	25776333
0.454	25776333
0.455	25776333
0.456	25776333
0.457	25776333
0.458	25776333
0.459	25776333
0.46	25776333
0.461	25776333
0.462	25759503
0.463	25759503
0.464	25759503
0.465	25759503
0.466	25759503
0.467	25759503
0.468	25759503
0.469	25759503
0.47	25759503
0.471	25759503
0.472	25049406
0.473	25049406
0.474	25049406
0.475	25049406
0.476	25049406
0.477	25049406
0.478	25049406
0.479	25049406
0.48	25049406
0.481	24367000
0.482	24367000
0.483	24367000
0.484	24367000
0.485	24367000
0.486	24367000
0.487	24367000
0.488	24367000
0.489	24367000
0.49	24367000
0.491	24125000
0.492	24125000
0.493	24125000
0.494	24125000
0.495	24125000
0.496	24125000
0.497	24125000
0.498	24125000
0.499	24125000
0.5	24087131
0.501	24087131
0.502	24087131
0.503	24087131
0.504	24087131
0.505	24087131
0.506	24087131
0.507	24087131
0.508	24087131
0.509	24087131
0.51	23730000
0.511	23730000
0.512	23730000
0.513	23730000
0.514	23730000
0.515	23730000
0.516	23730000
0.517	23730000
0.518	23730000
0.519	23628766
0.52	23628766
0.521	23628766
0.522	23628766
0.523	23628766
0.524	23628766
0.525	23628766
0.526	23628766
0.527	23628766
0.528	22933000
0.529	22933000
0.53	22933000
0.531	22933000
0.532	22933000
0.533	22933000
0.534	22933000
0.535	22933000
0.536	22933000
0.537	22803000
0.538	22803000
0.539	22803000
0.54	22803000
0.541	22803000
0.542	22803000
0.543	22803000
0.544	22803000
0.545	22803000
0.546	22326554
0.547	22326554
0.548	22326554
0.549	22326554
0.55	22326554
0.551	22326554
0.552	22326554
0.553	22326554
0.554	22326554
0.555	22186131
0.556	22186131
0.557	22186131
0.558	22186131
0.559	22186131
0.56	22186131
0.561	22186131
0.562	22186131
0.563	21111000
0.564	21111000
0.565	21111000
0.566	21111000
0.567	21111000
0.568	21111000
0.569	21111000
0.57	21111000
0.571	21111000
0.572	20871393
0.573	20871393
0.574	20871393
0.575	20871393
0.576	20871393
0.577	20871393
0.578	20871393
0.579	20871393
0.58	20384000
0.581	20384000
0.582	20384000
0.583	20384000
0.584	20384000
0.585	20384000
0.586	20384000
0.587	20384000
0.588	20173314
0.589	20173314
0.59	20173314
0.591	20173314
0.592	20173314
0.593	20173314
0.594	20173314
0.595	20173314
0.596	19812458
0.597	19812458
0.598	19812458
0.599	19812458
0.6	19812458
0.601	19812458
0.602	19812458
0.603	19804000
0.604	19804000
0.605	19804000
0.606	19804000
0.607	19804000
0.608	19804000
0.609	19804000
0.61	19804000
0.611	19720000
0.612	19720000
0.613	19720000
0.614	19720000
0.615	19720000
0.616	19720000
0.617	19720000
0.618	19720000
0.619	19514089
0.62	19514089
0.621	19514089
0.622	19514089
0.623	19514089
0.624	19514089
0.625	19514089
0.626	18349132
0.627	18349132
0.628	18349132
0.629	18349132
0.63	18349132
0.631	18349132
0.632	18349132
0.633	18085359
0.634	18085359
0.635	18085359
0.636	18085359
0.637	18085359
0.638	18085359
0.639	18085359
0.64	18085359
0.641	17673000
0.642	17673000
0.643	17673000
0.644	17673000
0.645	17673000
0.646	17673000
0.647	17670805
0.648	17670805
0.649	17670805
0.65	17670805
0.651	17670805
0.652	17670805
0.653	17670805
0.654	17603071
0.655	17603071
0.656	17603071
0.657	17603071
0.658	17603071
0.659	17603071
0.66	17603071
0.661	17548514
0.662	17548514
0.663	17548514
0.664	17548514
0.665	17548514
0.666	17548514
0.667	17548514
0.668	17230044
0.669	17230044
0.67	17230044
0.671	17230044
0.672	17230044
0.673	17230044
0.674	17230044
0.675	16941555
0.676	16941555
0.677	16941555
0.678	16941555
0.679	16941555
0.68	16941555
0.681	16804724
0.682	16804724
0.683	16804724
0.684	16804724
0.685	16804724
0.686	16804724
0.687	16804724
0.688	16804000
0.689	16804000
0.69	16804000
0.691	16804000
0.692	16804000
0.693	16804000
0.694	16420880
0.695	16420880
0.696	16420880
0.697	16420880
0.698	16420880
0.699	16420880
0.7	16420880
0.701	16049826
0.702	16049826
0.703	16049826
0.704	16049826
0.705	16049826
0.706	16049826
0.707	15564137
0.708	15564137
0.709	15564137
0.71	15564137
0.711	15564137
0.712	15564137
0.713	15117342
0.714	15117342
0.715	15117342
0.716	15117342
0.717	15117342
0.718	15117342
0.719	14570169
0.72	14570169
0.721	14570169
0.722	14570169
0.723	14570169
0.724	14570169
0.725	14442378
0.726	14442378
0.727	14442378
0.728	14442378
0.729	14442378
0.73	13785839
0.731	13785839
0.732	13785839
0.733	13785839
0.734	13785839
0.735	13785839
0.736	13395789
0.737	13395789
0.738	13395789
0.739	13395789
0.74	13395789
0.741	13377974
0.742	13377974
0.743	13377974
0.744	13377974
0.745	13377974
0.746	13369000
0.747	13369000
0.748	13369000
0.749	13369000
0.75	13369000
0.751	13147111
0.752	13147111
0.753	13147111
0.754	13147111
0.755	13147111
0.756	13147111
0.757	12403784
0.758	12403784
0.759	12403784
0.76	12403784
0.761	12170938
0.762	12170938
0.763	12170938
0.764	12170938
0.765	12170938
0.766	12145508
0.767	12145508
0.768	12145508
0.769	12145508
0.77	12145508
0.771	11669257
0.772	11669257
0.773	11669257
0.774	11669257
0.775	11478597
0.776	11478597
0.777	11478597
0.778	11478597
0.779	11478597
0.78	10948000
0.781	10948000
0.782	10948000
0.783	10948000
0.784	10895000
0.785	10895000
0.786	10895000
0.787	10895000
0.788	10864911
0.789	10864911
0.79	10864911
0.791	10864911
0.792	10864911
0.793	10636243
0.794	10636243
0.795	10636243
0.796	10636243
0.797	10518571
0.798	10518571
0.799	10518571
0.8	10518571
0.801	10507936
0.802	10507936
0.803	10507936
0.804	10507936
0.805	10472000
0.806	10472000
0.807	10472000
0.808	10472000
0.809	10231300
0.81	10231300
0.811	10231300
0.812	10231300
0.813	9745336
0.814	9745336
0.815	9745336
0.816	9745336
0.817	9512195
0.818	9512195
0.819	9512195
0.82	9512195
0.821	9124000
0.822	9124000
0.823	9124000
0.824	8994313
0.825	8994313
0.826	8994313
0.827	8994313
0.828	8950322
0.829	8950322
0.83	8950322
0.831	8746000
0.832	8746000
0.833	8746000
0.834	8543234
0.835	8543234
0.836	8543234
0.837	8543234
0.838	8290000
0.839	8290000
0.84	8290000
0.841	8102003
0.842	8102003
0.843	8102003
0.844	8045000
0.845	8045000
0.846	8045000
0.847	8043436
0.848	8043436
0.849	8043436
0.85	7660000
0.851	7660000
0.852	7660000
0.853	7631575
0.854	7631575
0.855	7631575
0.856	7313000
0.857	7313000
0.858	7313000
0.859	7179245
0.86	7179245
0.861	7179245
0.862	7177000
0.863	7177000
0.864	7177000
0.865	7070609
0.866	7070609
0.867	7070609
0.868	7046691
0.869	7046691
0.87	6996000
0.871	6996000
0.872	6996000
0.873	6377921
0.874	6377921
0.875	6377921
0.876	6088000
0.877	6088000
0.878	5818434
0.879	5818434
0.88	5717000
0.881	5717000
0.882	5226000
0.883	5226000
0.884	5226000
0.885	5210697
0.886	5210697
0.887	5027718
0.888	5027718
0.889	4998000
0.89	4870492
0.891	4870492
0.892	4859000
0.893	4859000
0.894	4697840
0.895	4697840
0.896	4307656
0.897	4307656
0.898	4190105
0.899	4152000
0.9	4152000
0.901	4103418
0.902	4103418
0.903	3967000
0.904	3821745
0.905	3821745
0.906	3798316
0.907	3705000
0.908	3705000
0.909	3673708
0.91	3610526
0.911	3603000
0.912	3603000
0.913	3438977
0.914	3426000
0.915	3290544
0.916	3290544
0.917	3215693
0.918	3150000
0.919	3135000
0.92	3057000
0.921	3057000
0.922	3054747
0.923	3039212
0.924	2965778
0.925	2965000
0.926	2856000
0.927	2840199
0.928	2840199
0.929	2824063
0.93	2694000
0.931	2692931
0.932	2507028
0.933	2475000
0.934	2466962
0.935	2377842
0.936	2364000
0.937	2333266
0.938	2287146
0.939	2134988
0.94	2022148
0.941	1892930
0.942	1821000
0.943	1739729
0.944	1682000
0.945	1512619
0.946	1498946
0.947	1461000
0.948	1450000
0.949	1434000
0.95	1373000
0.951	1281931
0.952	1226000
0.953	1189575
0.954	1078000
0.955	1060000
0.956	1020000
0.957	980000
0.958	911668
0.959	871780
0.96	786000
0.961	757000
0.962	702000
0.963	669797
0.964	657000
0.965	629000
0.966	611000
0.967	559000
0.968	533497
0.969	516000
0.97	481000
0.971	439000
0.972	425140
0.973	394000
0.974	376000
0.975	352000
0.976	317000
0.977	294987
0.978	269000
0.979	249229
0.98	230097
0.981	213027
0.982	198000
0.983	188000
0.984	183904
0.985	170160
0.986	156948
0.987	140068
0.988	129265
0.989	118386
0.99	109682
0.991	100286
0.992	93718
0.993	85279
0.994	77000
0.995	66600
0.996	57379
0.997	47000
0.998	38760
0.999	31427
1.0	1000
