fraction	Nx_length
0.001	355274122
0.002	355274122
0.003	355274122
0.004	355274122
0.005	355274122
0.006	355274122
0.007	355274122
0.008	355274122
0.009	355274122
0.01	355274122
0.011	355274122
0.012	355274122
0.013	355274122
0.014	355274122
0.015	355274122
0.016	355274122
0.017	355274122
0.018	355274122
0.019	355274122
0.02	355274122
0.021	355274122
0.022	355274122
0.023	355274122
0.024	355274122
0.025	355274122
0.026	355274122
0.027	355274122
0.028	355274122
0.029	355274122
0.03	355274122
0.031	355274122
0.032	355274122
0.033	355274122
0.034	355274122
0.035	355274122
0.036	355274122
0.037	355274122
0.038	355274122
0.039	355274122
0.04	355274122
0.041	355274122
0.042	355274122
0.043	355274122
0.044	355274122
0.045	355274122
0.046	355274122
0.047	355274122
0.048	355274122
0.049	355274122
0.05	355274122
0.051	355274122
0.052	355274122
0.053	355274122
0.054	355274122
0.055	355274122
0.056	355274122
0.057	355274122
0.058	355274122
0.059	355274122
0.06	355274122
0.061	355274122
0.062	355274122
0.063	355274122
0.064	355274122
0.065	355274122
0.066	355274122
0.067	355274122
0.068	355274122
0.069	355274122
0.07	355274122
0.071	355274122
0.072	355274122
0.073	355274122
0.074	355274122
0.075	355274122
0.076	355274122
0.077	355274122
0.078	355274122
0.079	355274122
0.08	355274122
0.081	355274122
0.082	355274122
0.083	355274122
0.084	355274122
0.085	355274122
0.086	355274122
0.087	355274122
0.088	355274122
0.089	355274122
0.09	355274122
0.091	355274122
0.092	355274122
0.093	355274122
0.094	355274122
0.095	355274122
0.096	355274122
0.097	355274122
0.098	355274122
0.099	355274122
0.1	355274122
0.101	355274122
0.102	355274122
0.103	355274122
0.104	355274122
0.105	355274122
0.106	355274122
0.107	355274122
0.108	355274122
0.109	355274122
0.11	355274122
0.111	355274122
0.112	355274122
0.113	355274122
0.114	355274122
0.115	355274122
0.116	355274122
0.117	355274122
0.118	355274122
0.119	355274122
0.12	355274122
0.121	355274122
0.122	355274122
0.123	355274122
0.124	355274122
0.125	355274122
0.126	355274122
0.127	355274122
0.128	355274122
0.129	355274122
0.13	355274122
0.131	355274122
0.132	355274122
0.133	355274122
0.134	355274122
0.135	355274122
0.136	355274122
0.137	355274122
0.138	355274122
0.139	355274122
0.14	355274122
0.141	355274122
0.142	355274122
0.143	355274122
0.144	355274122
0.145	355274122
0.146	355274122
0.147	355274122
0.148	355274122
0.149	355274122
0.15	355274122
0.151	355274122
0.152	355274122
0.153	355274122
0.154	355274122
0.155	355274122
0.156	355274122
0.157	355274122
0.158	355274122
0.159	355274122
0.16	355274122
0.161	355274122
0.162	272255920
0.163	272255920
0.164	272255920
0.165	272255920
0.166	272255920
0.167	272255920
0.168	272255920
0.169	272255920
0.17	272255920
0.171	272255920
0.172	272255920
0.173	272255920
0.174	272255920
0.175	272255920
0.176	272255920
0.177	272255920
0.178	272255920
0.179	272255920
0.18	272255920
0.181	272255920
0.182	272255920
0.183	272255920
0.184	272255920
0.185	272255920
0.186	272255920
0.187	272255920
0.188	272255920
0.189	272255920
0.19	272255920
0.191	272255920
0.192	272255920
0.193	272255920
0.194	272255920
0.195	272255920
0.196	272255920
0.197	272255920
0.198	272255920
0.199	272255920
0.2	272255920
0.201	272255920
0.202	272255920
0.203	272255920
0.204	272255920
0.205	272255920
0.206	272255920
0.207	272255920
0.208	272255920
0.209	272255920
0.21	272255920
0.211	272255920
0.212	272255920
0.213	272255920
0.214	272255920
0.215	272255920
0.216	272255920
0.217	272255920
0.218	272255920
0.219	272255920
0.22	272255920
0.221	272255920
0.222	272255920
0.223	272255920
0.224	272255920
0.225	272255920
0.226	272255920
0.227	272255920
0.228	272255920
0.229	272255920
0.23	272255920
0.231	272255920
0.232	272255920
0.233	272255920
0.234	272255920
0.235	272255920
0.236	272255920
0.237	272255920
0.238	272255920
0.239	272255920
0.24	272255920
0.241	272255920
0.242	272255920
0.243	272255920
0.244	272255920
0.245	272255920
0.246	272255920
0.247	272255920
0.248	272255920
0.249	272255920
0.25	272255920
0.251	272255920
0.252	272255920
0.253	272255920
0.254	272255920
0.255	272255920
0.256	272255920
0.257	272255920
0.258	272255920
0.259	272255920
0.26	272255920
0.261	272255920
0.262	272255920
0.263	272255920
0.264	272255920
0.265	272255920
0.266	272255920
0.267	272255920
0.268	272255920
0.269	272255920
0.27	272255920
0.271	272255920
0.272	272255920
0.273	272255920
0.274	272255920
0.275	272255920
0.276	272255920
0.277	272255920
0.278	272255920
0.279	272255920
0.28	272255920
0.281	272255920
0.282	272255920
0.283	272255920
0.284	272255920
0.285	212433421
0.286	212433421
0.287	212433421
0.288	212433421
0.289	212433421
0.29	212433421
0.291	212433421
0.292	212433421
0.293	212433421
0.294	212433421
0.295	212433421
0.296	212433421
0.297	212433421
0.298	212433421
0.299	212433421
0.3	212433421
0.301	212433421
0.302	212433421
0.303	212433421
0.304	212433421
0.305	212433421
0.306	212433421
0.307	212433421
0.308	212433421
0.309	212433421
0.31	212433421
0.311	212433421
0.312	212433421
0.313	212433421
0.314	212433421
0.315	212433421
0.316	212433421
0.317	212433421
0.318	212433421
0.319	212433421
0.32	212433421
0.321	212433421
0.322	212433421
0.323	212433421
0.324	212433421
0.325	212433421
0.326	212433421
0.327	212433421
0.328	212433421
0.329	212433421
0.33	212433421
0.331	212433421
0.332	212433421
0.333	212433421
0.334	212433421
0.335	212433421
0.336	212433421
0.337	212433421
0.338	212433421
0.339	212433421
0.34	212433421
0.341	212433421
0.342	212433421
0.343	212433421
0.344	212433421
0.345	212433421
0.346	212433421
0.347	212433421
0.348	212433421
0.349	212433421
0.35	212433421
0.351	212433421
0.352	212433421
0.353	212433421
0.354	212433421
0.355	212433421
0.356	212433421
0.357	212433421
0.358	212433421
0.359	212433421
0.36	212433421
0.361	212433421
0.362	212433421
0.363	212433421
0.364	212433421
0.365	212433421
0.366	212433421
0.367	212433421
0.368	212433421
0.369	212433421
0.37	212433421
0.371	212433421
0.372	212433421
0.373	212433421
0.374	212433421
0.375	212433421
0.376	212433421
0.377	212433421
0.378	212433421
0.379	212433421
0.38	212433421
0.381	150161704
0.382	150161704
0.383	150161704
0.384	150161704
0.385	150161704
0.386	150161704
0.387	150161704
0.388	150161704
0.389	150161704
0.39	150161704
0.391	150161704
0.392	150161704
0.393	150161704
0.394	150161704
0.395	150161704
0.396	150161704
0.397	150161704
0.398	150161704
0.399	150161704
0.4	150161704
0.401	150161704
0.402	150161704
0.403	150161704
0.404	150161704
0.405	150161704
0.406	150161704
0.407	150161704
0.408	150161704
0.409	150161704
0.41	150161704
0.411	150161704
0.412	150161704
0.413	150161704
0.414	150161704
0.415	150161704
0.416	150161704
0.417	150161704
0.418	150161704
0.419	150161704
0.42	150161704
0.421	150161704
0.422	150161704
0.423	150161704
0.424	150161704
0.425	150161704
0.426	150161704
0.427	150161704
0.428	150161704
0.429	150161704
0.43	150161704
0.431	150161704
0.432	150161704
0.433	150161704
0.434	150161704
0.435	150161704
0.436	150161704
0.437	150161704
0.438	150161704
0.439	150161704
0.44	150161704
0.441	150161704
0.442	150161704
0.443	150161704
0.444	150161704
0.445	150161704
0.446	150161704
0.447	150161704
0.448	150161704
0.449	137258246
0.45	137258246
0.451	137258246
0.452	137258246
0.453	137258246
