accession	tax_id	contig_n50	compleasm_fragmented	compleasm_frameshift	compleasm_missing	compleasm_complete	compleasm_single	compleasm_dup	compleasm_retro	technology	group	class	order	species	plot_class
GCA_003287225.2	38626	11399805	2	194	6	3382	3356	6	20	CLR	marsupials	Mammalia	Diprotodontia	Phascolarctos cinereus	Mammals
GCA_005190385.3	40151	22031227	1	146	7	3382	3332	18	32	CLR	whales & dolphins	Mammalia	Artiodactyla	Monodon monoceros	Mammals
GCA_008658365.1	28689	18221265	3	105	6	3381	3377	4	0	CLR	birds	Aves	Charadriiformes	Alca torda	Birds
GCA_009764595.1	135433	3247339	27	203	84	3279	3249	30	0	CLR	birds	Aves	Passeriformes	Geothlypis trichas	Birds
GCA_009769465.1	121530	11927027	4	159	7	3379	3369	10	0	CLR	birds	Aves	Musophagiformes	Tauraco erythrolophus	Birds
GCA_009769525.1	240206	12131577	8	225	14	3368	3362	6	0	CLR	birds	Aves	Pterocliformes	Pterocles gutturalis	Birds
GCA_009769605.1	153643	12039478	1	139	20	3369	3359	10	0	CLR	birds	Aves	Bucerotiformes	Bucorvus abyssinicus	Birds
GCA_009819595.1	57421	12372304	3	205	11	3376	3339	37	0	CLR	birds	Aves	Coraciiformes	Merops nubicus	Birds
GCA_009819605.1	108405	22002498	1	74	2	3387	3373	14	0	CLR	birds	Aves	Charadriiformes	Sterna hirundo	Birds
GCA_009819775.1	9218	14700712	0	157	5	3385	3372	13	0	CLR	birds	Aves	Phoenicopteriformes	Phoenicopterus ruber	Birds
GCA_009819825.1	54380	13514148	6	117	6	3378	3364	13	1	CLR	birds	Aves	Cariamiformes	Cariama cristata	Birds
GCA_009914755.4	9606	150617247	0	48	1	3389	3325	29	35	HiFi	primates	Mammalia	Primates	Homo sapiens	Mammals
GCA_011004875.1	100784	23326060	0	64	4	3386	3375	11	0	CLR	birds	Aves	Gruiformes	Balearica regulorum	Birds
GCA_011762505.3	61156	11143170	6	66	11	3373	3303	41	29	CLR	rodents	Mammalia	Rodentia	Arvicanthis niloticus	Mammals
GCA_013358685.1	882753	10114706	16	94	36	3338	3317	18	3	CLR	bony fishes	Actinopteri	Lophiiformes	Antennarius maculatus	Ray-finned Fishes
GCA_014706295.1	2767082	7380351	12	76	23	3355	3343	11	1	CLR	birds	Aves	Passeriformes	Lycocorax pyrrhopterus	Birds
GCA_014839685.1	195821	17460000	4	108	10	3376	3366	10	0	CLR	bony fishes	Actinopteri	Cyprinodontiformes	Anableps anableps	Ray-finned Fishes
GCA_014839755.1	73324	31914676	3	62	22	3365	3357	6	2	CLR	birds	Aves	Passeriformes	Sylvia borin	Birds
GCA_014839995.1	129108	2195850	14	81	30	3346	3334	12	0	CLR	bony fishes	Actinopteri	Beloniformes	Xenentodon cancila	Ray-finned Fishes
GCA_016904835.1	57068	16681756	10	160	23	3357	3343	14	0	CLR	birds	Aves	Passeriformes	Acanthisitta chloris	Birds
GCA_017639485.1	670352	15203797	2	101	8	3380	3373	7	0	CLR	birds	Aves	Charadriiformes	Pluvialis apricaria	Birds
GCA_017639555.1	52777	23757428	5	163	7	3378	3372	6	0	CLR	birds	Aves	Ciconiiformes	Ciconia maguari	Birds
GCA_017639675.1	946358	956540	51	100	352	2987	2958	28	1	CLR	bony fishes	Actinopteri	Galaxiiformes	Aplochiton taeniatus	Ray-finned Fishes
GCA_019677235.1	27706	5637587	5	138	8	3377	3301	75	1	CLR	bony fishes	Actinopteri	Centrarchiformes	Micropterus salmoides	Ray-finned Fishes
GCA_020510985.1	390368	5866050	5	96	12	3373	3329	26	18	CLR	bony fishes	Actinopteri	Cichliformes	Pholidichthys leucotaenia	Ray-finned Fishes
