Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_004023785.1	3054	3023	31	246	49	111	210652	2019-01-15	Mungos mungo	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023805.1	2774	2765	9	488	85	106	9690	2019-01-15	Panthera onca	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023825.1	2938	2882	56	345	66	135	494514	2019-01-15	Vulpes lagopus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023845.1	2948	2909	39	334	66	87	210647	2019-01-15	Helogale parvula	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023865.1	2611	2565	46	612	120	151	9716	2019-01-15	Mirounga angustirostris	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023885.1	3046	3006	40	267	38	97	94188	2019-01-15	Cryptoprocta ferox	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023905.1	3019	2974	45	283	48	109	37032	2019-01-15	Suricata suricatta	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023925.1	1479	1470	9	1382	451	151	61379	2019-01-15	Felis nigripes	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023945.1	2530	2510	20	675	135	118	95912	2019-01-15	Hyaena hyaena	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004023965.1	2684	2662	22	548	112	125	30551	2019-01-15	Spilogale gracilis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024565.1	3002	2892	110	298	53	134	9704	2019-01-15	Zalophus californianus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024585.1	2628	2609	19	597	120	117	71117	2019-01-15	Paradoxurus hermaphroditus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024605.1	2923	2894	29	369	51	107	9672	2019-01-15	Pteronura brasiliensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024625.1	2790	2759	31	470	83	103	9664	2019-01-15	Mellivora capensis	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing
GCA_004024645.1	2473	2421	52	700	164	155	47180	2019-01-15	Mirza coquereli	Sarcopterygii	Mammalia			Euarchontoglires	Primates	missing
