Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type	Submitter
GCA_003427335.1	3077	3068	9	153	123	112	137246	2018-08-02	Chiloscyllium punctatum		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Orectolobiformes	Illumina	Phyloinformatics Unit, Division of Bio-Function Dynamics Imaging, Center for Life Science Technologies, RIKEN
GCA_003427355.1	2741	2713	28	395	215	111	75743	2018-08-02	Scyliorhinus torazame		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	Illumina	Phyloinformatics Unit, Division of Bio-Function Dynamics Imaging, Center for Life Science Technologies, RIKEN
GCA_012026655.1	1925	1909	16	995	419	75	1459831	2020-04-03	Hydrolagus affinis		Chondrichthyes		Holocephali		Chimaeriformes	Illumina	CIIMAR - Interdisciplinary Centre of Marine and Environmental Research
GCA_024137785.1	3054	3034	20	106	194	113	7801	2022-06-30	Ginglymostoma cirratum		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Orectolobiformes	Illumina	Texas A&M University
GCA_024679065.1	3272	3255	17	19	63	67	195334	2022-08-15	Sphyrna mokarran		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	Illumina	Cornell University
GCA_026260435.1	3165	3131	34	118	69	108	7798	2022-11-21	Squalus suckleyi		Chondrichthyes	Selachii	Elasmobranchii		Squaliformes	Illumina	Canadas Genomic Enterprise
GCA_026770705.1	3273	3234	39	36	45	90	57983	2022-12-09	Isurus oxyrinchus		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Lamniformes	PacBio HiFi	Cornell University
GCA_030035685.1	3216	3192	24	30	108	68	1983395	2023-05-22	Mobula birostris		Chondrichthyes		Elasmobranchii	Batoidea	Myliobatiformes	PacBio HiFi	Vertebrate Genomes Project
GCA_030264375.1	3022	3010	12	173	159	246	302049	2023-06-13	Carcharhinus longimanus		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	Illumina	Iridian Genomes
GCA_030265395.1	3027	3013	14	158	168	258	3025902	2023-06-13	Rhina ancylostomus		Chondrichthyes		Elasmobranchii	Batoidea	Rhinopristiformes	Illumina	Iridian Genomes
GCA_030324005.1	3013	2989	24	170	169	305	7821	2023-06-22	Negaprion brevirostris		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	Illumina	Iridian Genomes
GCA_030390025.1	3179	3151	28	82	93	116	7797	2023-07-03	Squalus acanthias		Chondrichthyes	Selachii	Elasmobranchii		Squaliformes	missing	Nord University
GCA_031763465.1	537	534	3	1107	1707	603	263718	2023-09-20	Squatina squatina		Chondrichthyes	Selachii	Elasmobranchii	Squatiniformes		Illumina	Iridian Genomes
GCA_032162045.1	173	169	4	1102	2052	39	3071792	2023-09-28	Torpedo suessii		Chondrichthyes		Elasmobranchii	Batoidea	Torpediniformes	Illumina	Natural History Museum Vienna
GCA_032362145.1	2860	2845	15	235	258	364	2760903	2023-10-04	Hypanus berthalutzae		Chondrichthyes		Elasmobranchii	Batoidea	Myliobatiformes	Illumina	Iridian Genomes
GCA_034780895.1	3004	2986	18	171	179	326	335006	2023-12-28	Rhynchobatus australiae		Chondrichthyes		Elasmobranchii	Batoidea	Rhinopristiformes	Illumina	Iridian Genomes
GCA_035084275.1	2950	2926	24	50	354	135	7873	2024-01-05	Hydrolagus colliei		Chondrichthyes		Holocephali		Chimaeriformes	PacBio HiFi	Vertebrate Genomes Project
GCA_035221665.1	3197	3173	24	35	122	190	432798	2024-01-12	Okamejei kenojei		Chondrichthyes		Elasmobranchii	Batoidea	Rajiformes	missing	BGI-Qingdao
