accession	tax_id	technology	date	species	assembly_size	class	group
GCA_003287225.2	38626	CLR	2022-12-12	Phascolarctos cinereus	3192631935	Mammalia	marsupials
GCA_005190385.3	40151	CLR	2022-11-09	Monodon monoceros	2341954608	Mammalia	whales & dolphins
GCA_008658365.1	28689	CLR	2019-10-10	Alca torda	1178492568	Aves	birds
GCA_009764595.1	135433	CLR	2019-12-19	Geothlypis trichas	1078128490	Aves	birds
GCA_009769465.1	121530	CLR	2019-12-19	Tauraco erythrolophus	1252271553	Aves	birds
GCA_009769525.1	240206	CLR	2019-12-23	Pterocles gutturalis	1127422757	Aves	birds
GCA_009769605.1	153643	CLR	2019-12-23	Bucorvus abyssinicus	1132597561	Aves	birds
GCA_009819595.1	57421	CLR	2019-12-31	Merops nubicus	1149356202	Aves	birds
GCA_009819605.1	108405	CLR	2019-12-31	Sterna hirundo	1229972541	Aves	birds
GCA_009819775.1	9218	CLR	2019-12-31	Phoenicopterus ruber	1246226932	Aves	birds
GCA_009819825.1	54380	CLR	2019-12-31	Cariama cristata	1215245693	Aves	birds
GCA_009914755.4	9606	HiFi	2022-01-24	Homo sapiens	3117292070	Mammalia	primates
GCA_011004875.1	100784	CLR	2020-03-05	Balearica regulorum	1221051782	Aves	birds
GCA_011762505.3	61156	CLR	2025-01-29	Arvicanthis niloticus	2496777707	Mammalia	rodents
GCA_013358685.1	882753	CLR	2020-06-18	Antennarius maculatus	549949511	Actinopteri	bony fishes
GCA_014706295.1	2767082	CLR	2020-09-23	Lycocorax pyrrhopterus	1107771238	Aves	birds
GCA_014839685.1	195821	CLR	2020-10-02	Anableps anableps	867632993	Actinopteri	bony fishes
GCA_014839755.1	73324	CLR	2020-10-02	Sylvia borin	1045652180	Aves	birds
GCA_014839995.1	129108	CLR	2020-10-02	Xenentodon cancila	736214936	Actinopteri	bony fishes
GCA_016904835.1	57068	CLR	2021-02-17	Acanthisitta chloris	1077387582	Aves	birds
GCA_017639485.1	670352	CLR	2021-03-30	Pluvialis apricaria	1247767512	Aves	birds
GCA_017639555.1	52777	CLR	2021-03-30	Ciconia maguari	1239437416	Aves	birds
GCA_017639675.1	946358	CLR	2021-03-30	Aplochiton taeniatus	461946147	Actinopteri	bony fishes
GCA_019677235.1	27706	CLR	2021-08-19	Micropterus salmoides	877669248	Actinopteri	bony fishes
GCA_020510985.1	390368	CLR	2021-10-15	Pholidichthys leucotaenia	6032307556	Actinopteri	bony fishes
GCA_020745685.1	34787	CLR	2021-11-05	Tautogolabrus adspersus	723582185	Actinopteri	bony fishes
GCA_020745705.1	243314	CLR	2021-11-05	Hemiprocne comata	1164813063	Aves	birds
GCA_020745775.1	1118847	CLR	2021-11-05	Theristicus caerulescens	1203372763	Aves	birds
GCA_020746105.1	297711	CLR	2021-11-05	Trogon surrucura	1165749515	Aves	birds
GCA_020800305.1	439704	HiFi	2021-11-08	Porphyrio hochstetteri	1270294353	Aves	birds
GCA_021292165.1	52224	CLR	2021-12-28	Shinisaurus crocodilurus	2189995079	Lepidosauria	lizards & snakes
GCA_022682495.2	9430	HiFi	2022-03-24	Desmodus rotundus	2119704833	Mammalia	bats
GCA_023333525.2	2917703	HiFi	2025-03-05	Aspidoscelis tigris	1673115766	Lepidosauria	lizards & snakes
GCA_023637945.2	46513	CLR	2025-02-06	Phaethornis superciliosus	1020009783	Aves	birds
GCA_023851605.1	48850	CLR	2022-06-22	Tamandua tetradactyla	3205741135	Mammalia	placentals
GCA_024256435.1	13013	HiFi	2022-07-13	Clarias gariepinus	972641408	Actinopteri	bony fishes
GCA_024294585.1	246179	HiFi	2022-07-20	Vipera latastei	1631568913	Lepidosauria	snakes
GCA_026018925.1	70687	CLR	2022-11-07	Tupaia tana	2948294157	Mammalia	placentals
