Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_004786255.1	30357	2019-04-17	126872	27660	4914	1398954963	Pyxicephalus adspersus	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_009364415.1	30317	2019-10-28	74867	30692	6180	1073446181	Spea multiplicata	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_009364435.1	85089	2019-10-28	1378914	362	225	484148449	Scaphiopus couchii	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_009364455.1	8435	2019-10-28	1509291	514	273	710848751	Scaphiopus holbrookii	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_009667805.1	445787	2019-11-19	8584	1946319	224576	3548732264	Leptobrachium leishanense	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio RSII
GCA_009801035.1	51950	2019-12-27	637932	5833	1615	2234258219	Oophaga pumilio	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_011038615.1	104065	2020-02-28	749216	10168	1276	2136946809	Limnodynastes dumerilii	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_016617825.1	2741728	2021-01-12	1261386	1455	296	796365731	Platyplectrum ornatum	Sarcopterygii	Amphibia			Batrachia	Anura	Oxford Nanopore
GCA_018402905.1	8410	2021-03-18	1440915	10997	1908	6799639903	Glandirana rugosa	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_018994145.1	428466	2021-06-24	15916	817892	152874	3530531029	Leptobrachium ailaonicum	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_019447015.1	247094	2021-08-05	42250	782036	47198	3206766425	Hymenochirus boettgeri	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_019650415.1	247091	2021-08-17	351451	6208	1823	1362719881	Pipa parva	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_021901965.1	191480	2022-02-03	830118	1968	622	1192124124	Pipa carvalhoi	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_022657655.1	2798809	2022-03-21	1446664	1468	653	1829122027	Phrynoglossus myanhessei	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_023970735.1	428384	2022-06-27	118630	126	100	15633533	Pseudis tocantins	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_024363595.1	8354	2022-07-22	256464	21213	3613	2195286711	Xenopus borealis	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_025379985.1	860369	2022-09-23	109372	78483	18778	4741016426	Phyllomedusa bahiana	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_027410445.1	8351	2022-12-28	4999	3043591	395499	3810206057	Discoglossus pictus	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio CLR
GCA_027789725.1	150705	2023-01-13	3358	10560916	581184	2239463667	Dendropsophus ebraccatus	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio CLR
GCA_027917425.1	8429	2023-01-18	2747	4962642	1117539	4335899441	Gastrophryne carolinensis	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio HiFi
GCA_028564925.1	45438	2023-02-09	18284	2479127	144056	5144225848	Lithobates sylvaticus	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio CLR
GCA_029206835.1	160500	2023-03-14	9672	4644276	713274	10159702839	Rana muscosa	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_029215755.1	228670	2023-03-14	541	14335781	1121360	1155520324	Spea hammondii	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio HiFi
GCA_029574335.1	670907	2023-04-09	6555	1704296	370455	4830373361	Rana kukunoris	Sarcopterygii	Amphibia			Batrachia	Anura	missing
GCA_030180145.1	1346618	2023-06-06	1064485	801	535	852425241	Desmognathus organi	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264435.1	52101	2023-06-13	724025	829	540	612434910	Desmognathus imitator	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264455.1	503920	2023-06-13	1005091	824	534	824268263	Desmognathus abditus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264475.1	52099	2023-06-13	1304087	847	537	1085073535	Desmognathus conanti	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264495.1	52107	2023-06-13	934400	838	538	788054648	Desmognathus welteri	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264635.1	52096	2023-06-13	1602814	858	536	1318010312	Desmognathus aeneus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264875.1	2005549	2023-06-13	631047	817	535	525218664	Desmognathus valentinei	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264895.1	52097	2023-06-13	907426	810	532	733323393	Desmognathus auriculatus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264915.1	179531	2023-06-13	866265	831	542	729169865	Desmognathus orestes	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264935.1	52104	2023-06-13	958825	818	533	777322436	Desmognathus ochrophaeus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264955.1	43046	2023-06-13	1313068	847	538	1095148125	Desmognathus apalachicolae	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264975.1	2981334	2023-06-13	705509	821	534	584734443	Desmognathus pascagoula	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030264995.1	179530	2023-06-13	1157653	835	536	955217774	Desmognathus ocoee	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030265015.1	279537	2023-06-13	883913	833	542	744648207	Desmognathus folkertsi	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030265035.1	52108	2023-06-13	1347156	838	542	1116951087	Desmognathus wrighti	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_030265095.1	52100	2023-06-13	1301563	849	536	1077595073	Desmognathus fuscus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_031753635.1	179529	2023-09-20	606625	806	538	502456113	Desmognathus carolinensis	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_031753655.1	52106	2023-09-20	695356	818	540	582255290	Desmognathus santeetlah	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_031753675.1	52103	2023-09-20	1386658	838	526	1113000524	Desmognathus monticola	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_031753695.1	52102	2023-09-20	1631306	863	533	1350792951	Desmognathus marmoratus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_031769625.1	3041213	2023-09-22	4086	8853472	741045	5507820553	Taudactylus pleione	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio HiFi
GCA_031893025.1	238119	2023-09-26	3239	5565655	379246	2296339607	Leptodactylus fuscus	Sarcopterygii	Amphibia			Batrachia	Anura	PacBio HiFi
GCA_032274985.1	3018287	2023-10-02	723921	798	530	582950800	Desmognathus aureatus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032275005.1	3018285	2023-10-02	867536	811	531	699992925	Desmognathus adatsihi	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032275285.1	3018294	2023-10-02	870742	809	530	701025473	Desmognathus perlapsus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032275315.1	3018291	2023-10-02	915946	816	531	742314441	Desmognathus intermedius	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032353675.1	3018288	2023-10-04	630968	799	531	506944357	Desmognathus balsameus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032353775.1	3018290	2023-10-04	650829	805	532	531188686	Desmognathus gvnigeusgwotli	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032353815.1	3018289	2023-10-04	690700	815	534	569845976	Desmognathus cheaha	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032353855.1	3018292	2023-10-04	592883	812	535	490478288	Desmognathus kanawha	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032353935.1	407057	2023-10-04	791752	819	534	652231906	Desmognathus planiceps	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032354855.1	3018293	2023-10-04	785011	814	533	644533947	Desmognathus mavrokoilius	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032357565.1	3018295	2023-10-04	487768	803	531	397478404	Desmognathus valtos	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
GCA_032360725.1	3018286	2023-10-04	4787867	375	244	1865145392	Desmognathus amphileucus	Sarcopterygii	Amphibia			Batrachia	Caudata	missing
