Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_022829085.1	38527	2022-04-08	279	10167936	2252467	1067352714	Abramis brama	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio HiFi
GCA_043656515.1	36217	2024-10-23	484057	6553	450	829313586	Abudefduf troschelii	Actinopterygii	Actinopteri	Teleostei	Neopterygii			missing
GCA_900312575.1	473344	2018-03-19	131532	5636	2140	544095404	Acanthochaenus luetkenii	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Beryciformes	missing
GCF_021347895.1	80966	2022-01-11	952	5524274	699605	956697031	Acanthochromis polyacanthus	Actinopterygii	Actinopteri	Teleostei	Neopterygii			PacBio CLR
GCF_904848185.1	8177	2020-10-12	215	14880455	1697048	685129297	Acanthopagrus latus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Spariformes	PacBio CLR
GCA_041753875.1	72011	2024-09-05	24	31795397	25860688	714975658	Acanthopagrus schlegelii	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Spariformes	PacBio HiFi
GCA_029814675.1	157585	2023-04-18	280071	2682	1001	571318140	Acanthurus coeruleus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_029814705.1	2609487	2023-04-18	302305	1227	628	336268943	Acanthurus grammoptilus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_029814765.1	1828454	2023-04-18	39371	41716	7464	623813728	Acanthurus leucopareius	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_029814665.1	483362	2023-04-18	50869	28576	5797	617528988	Acanthurus lineatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_029814725.1	753644	2023-04-18	290717	2540	957	566217025	Acanthurus nigricauda	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_029823135.1	1567455	2023-04-18	992629	2193	661	1540345181	Acanthurus reversus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_029783805.1	586769	2023-04-17	204340	6475	1210	657624814	Acanthurus tennentii	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_029783725.1	1316013	2023-04-17	203441	8901	1037	666791521	Acanthurus tractus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	missing
GCA_034509495.1	639287	2023-12-26	22917	557767	73841	938361873	Acestrorhynchus altus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	Oxford Nanopore
GCA_029874615.1	236538	2023-04-26	1304983	1501	256	948012511	Achondrostoma oligolepis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	missing
GCA_024762115.1	7902	2022-08-29	3393603	1043	298	2389722506	Acipenser gueldenstaedtii	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	missing
GCA_030684275.1	40147	2023-08-08	7047	1533874	124808	1860424424	Acipenser oxyrinchus oxyrinchus	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	Oxford Nanopore
GCF_902713425.1	7906	2022-02-02	2164	8776027	1280941	1899724488	Acipenser ruthenus	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	PacBio HiFi
GCA_020113195.1	7904	2021-09-23	366122	2596	1235	859798566	Acipenser transmontanus	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	missing
GCA_036784905.1	356809	2024-02-23	120	32348965	17285356	899126031	Acrossocheilus fasciatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio HiFi
GCA_029620275.1	1279364	2023-04-10	1060	2432960	325567	971032955	Acrossocheilus wenchowensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio CLR
GCA_916700685.1	1311530	2021-10-09	95571	29796	4972	831332140	Adelosebastes latens	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	missing
GCA_036245035.1	123688	2023-08-24	20134	94839	18969	635942438	Adrianichthys oophorus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Beloniformes	missing
GCA_901007665.1	270546	2020-04-15	45761	15935	4301	380342436	Aeoliscus strigatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Syngnathiformes	missing
GCA_003347165.1	2066578	2018-07-31	172561	7199	1669	699809539	Ageneiosus marmoratus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Siluriformes	missing
GCA_943590845.1	227741	2022-06-15	136384	11955	2362	761179589	Akarotaxis nudiceps	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Perciformes	missing
GCA_019788955.1	121402	2021-08-27	3853	3575230	79374	1049030012	Albula glossodonta	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Albuliformes	missing
GCA_022829145.1	1534307	2022-04-08	1068	17514905	1727673	933365664	Albula goreensis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Albuliformes	Oxford Nanopore
GCA_964188515.1	54556	2024-06-23	334	7572294	1920877	1005329471	Alburnus alburnus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio HiFi
GCA_029706075.1	143900	2023-04-12	3963	1991066	311334	1228756824	Aldrovandia affinis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Notacanthiformes	Oxford Nanopore
GCA_037576975.1	1003153	2024-03-26	226860	8057	1694	926570885	Alestes dentex	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	missing
GCA_037577075.1	304080	2024-03-26	403121	3238	940	879289542	Alestopetersius hilgendorfi	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	missing
GCA_903066825.1	55102	2021-09-22	36184	49489	11348	639520210	Alfaro cultratus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Atherinomorphae	Cyprinodontiformes	missing
GCA_043109815.1	364078	2024-10-14	863959	3696	287	955891776	Algansea lacustris	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	missing
GCA_024542945.1	2876849	2022-08-09	4243	2863522	473835	2953450560	allo-octoploid hybrid of Carassius auratus x Cyprinus carpio	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio CLR
GCA_040955115.1	224703	2024-08-01	3821	912851	143548	1193390861	Alosa aestivalis	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Clupeiformes	PacBio HiFi
GCF_017589495.1	278164	2021-03-30	2636	1187127	277639	853697145	Alosa alosa	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Clupeiformes	Oxford Nanopore
