Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type	Submitter
GCA_002896415.1	3163	3148	15	113	77	96	38772	2018-01-24	Gopherus agassizii	Sarcopterygii			Testudinata		Testudines	Illumina	Arizona State University
GCA_003846335.1	3252	3190	62	87	15	75	241437	2018-11-28	Cuora mccordi	Sarcopterygii			Testudinata		Testudines	missing	McDonnell Genome Institute - Washington University School of Medicine
GCA_003942145.1	3342	3333	9	8	4	54	55544	2018-12-12	Platysternon megacephalum	Sarcopterygii			Testudinata		Testudines	Illumina	Institute of Zoology,  Guangdong Academy of Sciences
GCA_004028625.2	2836	2768	68	402	111	117	74909	2019-03-22	Cuora amboinensis	Sarcopterygii			Testudinata		Testudines	Illumina	McDonnell Genome Institute - Washington University School of Medicine
GCA_007922155.1	3325	3181	144	19	10	91	904206	2019-08-05	Mesoclemmys tuberculata	Sarcopterygii			Testudinata		Testudines	missing	McDonnell Genome Institute - Washington University School of Medicine
GCA_007922175.1	3311	3280	31	35	8	89	367368	2019-08-01	Pelusios castaneus	Sarcopterygii			Testudinata		Testudines	missing	McDonnell Genome Institute - Washington University School of Medicine
GCA_007922195.1	3336	3310	26	13	5	64	44507	2019-08-05	Podocnemis expansa	Sarcopterygii			Testudinata		Testudines	missing	McDonnell Genome Institute - Washington University School of Medicine
GCA_007922225.1	3346	3271	75	5	3	74	251359	2019-08-05	Emydura subglobosa	Sarcopterygii			Testudinata		Testudines	missing	McDonnell Genome Institute - Washington University School of Medicine
GCA_007922305.1	3322	3265	57	22	8	71	55550	2019-08-05	Dermatemys mawii	Sarcopterygii			Testudinata		Testudines	missing	McDonnell Genome Institute - Washington University School of Medicine
GCA_019425775.1	3348	3335	13	1	5	246	904230	2021-07-30	Rafetus swinhoei	Sarcopterygii			Testudinata		Testudines	Oxford Nanopore	Center for Ecological and Environmental Sciences
GCA_022086475.1	3299	3272	27	4	51	62	335395	2022-02-09	Actinemys marmorata	Sarcopterygii			Testudinata		Testudines	PacBio HiFi	UCLA
GCA_023634205.1	3353	3340	13	0	1	60	1485138	2022-06-01	Actinemys pallida	Sarcopterygii			Testudinata		Testudines	PacBio HiFi	UCLA
GCA_026122505.1	3353	3341	12	0	1	74	167804	2022-11-15	Aldabrachelys gigantea	Sarcopterygii			Testudinata		Testudines	PacBio HiFi	University of Zurich
GCA_030012505.1	3351	3344	7	0	3	53	27787	2023-05-15	Eretmochelys imbricata	Sarcopterygii			Testudinata		Testudines	PacBio HiFi	Guangdong Ocean University
GCA_030068395.1	3010	3000	10	167	175	122	55534	2023-06-05	Apalone spinifera	Sarcopterygii			Testudinata		Testudines	Illumina	Iowa State University
