Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_002896415.1	38772	2018-01-24	637119	10252	1902	2152041803	Gopherus agassizii	Sarcopterygii			Testudinata		Testudines	missing
GCA_003846335.1	241437	2018-11-28	150231	74338	11694	2260898254	Cuora mccordi	Sarcopterygii			Testudinata		Testudines	missing
GCA_003942145.1	55544	2018-12-12	469569	41750	5540	2282553896	Platysternon megacephalum	Sarcopterygii			Testudinata		Testudines	missing
GCA_004028625.2	74909	2019-03-22	154614	47152	6675	2203323269	Cuora amboinensis	Sarcopterygii			Testudinata		Testudines	missing
GCA_007922155.1	904206	2019-08-05	78757	146430	29094	1974625336	Mesoclemmys tuberculata	Sarcopterygii			Testudinata		Testudines	missing
GCA_007922175.1	367368	2019-08-01	112514	74864	16259	1994855768	Pelusios castaneus	Sarcopterygii			Testudinata		Testudines	missing
GCA_007922195.1	44507	2019-08-05	74735	134824	31692	2399180176	Podocnemis expansa	Sarcopterygii			Testudinata		Testudines	missing
GCA_007922225.1	251359	2019-08-05	56575	350989	68971	1964698078	Emydura subglobosa	Sarcopterygii			Testudinata		Testudines	missing
GCA_007922305.1	55550	2019-08-05	62170	183958	38529	1835994521	Dermatemys mawii	Sarcopterygii			Testudinata		Testudines	missing
GCA_019425775.1	904230	2021-07-30	1126	30963999	6529704	2237908528	Rafetus swinhoei	Sarcopterygii			Testudinata		Testudines	Oxford Nanopore
GCA_022086475.1	335395	2022-02-09	196	75081387	9118225	2301103724	Actinemys marmorata	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_023634205.1	1485138	2022-06-01	106	93983910	17898726	2326923047	Actinemys pallida	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_026122505.1	167804	2022-11-15	1041	58656949	6787288	2373210104	Aldabrachelys gigantea	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_030012505.1	27787	2023-05-15	303	82034986	16597414	2296181134	Eretmochelys imbricata	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_030068395.1	55534	2023-06-05	226404	14718	4002	1882691203	Apalone spinifera	Sarcopterygii			Testudinata		Testudines	missing
GCA_032164245.1	142480	2023-09-29	771	17031157	1283573	1759301033	Sternotherus odoratus	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_032172135.1	335392	2023-09-28	375	95749198	5905284	2323437979	Glyptemys insculpta	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_032595735.1	171793	2023-10-12	554	41440143	7000000	2160986712	Pelochelys cantorii	Sarcopterygii			Testudinata		Testudines	missing
GCA_033296515.1	3026461	2023-11-06	656	43882550	4786086	2132203265	Macrochelys suwanniensis	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_033958435.1	44489	2023-11-27	146	126464372	20314305	2180314667	Carettochelys insculpta	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_036785055.1	85613	2024-02-23	403	43111614	3204752	2334365286	Emydoidea blandingii	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
GCA_037349215.1	8481	2024-03-20	202	107021855	14355223	2275220717	Graptemys geographica	Sarcopterygii			Testudinata		Testudines	PacBio HiFi
