Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_003427335.1	137246	2018-08-02	467906	20717	2663	3043880664	Chiloscyllium punctatum		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Orectolobiformes	missing
GCA_003427355.1	75743	2018-08-02	1083680	6732	1378	3653673366	Scyliorhinus torazame		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	missing
GCA_012026655.1	1459831	2020-04-03	252783	15857	1350	1113541090	Hydrolagus affinis		Chondrichthyes		Holocephali		Chimaeriformes	missing
GCA_024137785.1	7801	2022-06-30	69171	55429	18566	2473671363	Ginglymostoma cirratum		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Orectolobiformes	missing
GCA_024679065.1	195334	2022-08-15	4248	3933132	458590	2772466352	Sphyrna mokarran		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	missing
GCA_026260435.1	7798	2022-11-21	187146	127514	15067	4729392758	Squalus suckleyi		Chondrichthyes	Selachii	Elasmobranchii		Squaliformes	missing
GCA_026770705.1	57983	2022-12-09	7410	4177150	353767	4975295872	Isurus oxyrinchus		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Lamniformes	PacBio HiFi
GCA_030035685.1	1983395	2023-05-22	3300	8612779	606557	3579117238	Mobula birostris		Chondrichthyes		Elasmobranchii	Batoidea	Myliobatiformes	PacBio HiFi
GCA_030264375.1	302049	2023-06-13	656966	5188	1590	2260469970	Carcharhinus longimanus		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	missing
GCA_030265395.1	3025902	2023-06-13	656834	4260	1328	1877600436	Rhina ancylostomus		Chondrichthyes		Elasmobranchii	Batoidea	Rhinopristiformes	missing
GCA_030324005.1	7821	2023-06-22	917597	3375	1135	2169338174	Negaprion brevirostris		Chondrichthyes	Selachii	Elasmobranchii	Galeoidea	Carcharhiniformes	missing
GCA_030390025.1	7797	2023-07-03	9353	1715360	180465	3711563034	Squalus acanthias		Chondrichthyes	Selachii	Elasmobranchii		Squaliformes	missing
GCA_031763465.1	263718	2023-09-20	1378695	1056	562	1309058706	Squatina squatina		Chondrichthyes	Selachii	Elasmobranchii	Squatiniformes		missing
GCA_032162045.1	3071792	2023-09-28	1530099	1798	406	1672479157	Torpedo suessii		Chondrichthyes		Elasmobranchii	Batoidea	Torpediniformes	missing
