accession	contig_n50	scaffold_n50	compleasm_complete	compleasm_single	compleasm_dup	compleasm_retro	compleasm_fragmented	compleasm_missing	compleasm_frameshift	project	type	seq
000001515	384816	26972556	3370	3200	127	43	14	6	62	Other	Other	PacBio
000001545	15652	747367	3311	3257	13	41	63	16	341	Other	Other	Other
000001895	100461	14986627	3369	3237	75	57	8	13	119	Other	Other	PacBio
000001905	69023	46401353	3340	3332	2	6	35	15	191	Zoonomia	Other	Other
000002035	1422317	7379053	3268	2598	668	2	67	54	98	Other	Other	Other
000002265	34564	25208765	3357	3276	17	64	21	12	102	Other	Other	Other
000002275	11544	991605	2253	2247	5	1	716	416	295	Other	Other	Other
000002285	27487084	63738581	3357	3278	13	66	9	24	75	Other	Other	PacBio
000002295	107990	527952102	3303	3233	14	56	40	47	101	Other	Other	Other
000002315	17655422	20785086	3379	3375	4	0	2	9	83	Other	Other	CLR
000003025	48231277	88231837	3388	3373	10	5	1	1	173	Other	Other	CLR
000003115	4577	16304361	2634	2618	10	6	484	270	682	Other	Other	Other
000003205	276285	6806220	3356	3287	10	59	28	6	127	Other	Other	PacBio
000003625	64648	35972871	3159	3062	21	76	79	152	214	Other	Other	Other
000004035	2905	2905	781	739	33	9	1297	1288	485	Other	Other	Illumina
000004195	14634335	153961319	3347	3329	17	1	19	24	45	Other	Other	PacBio
000004335	39886	1281781	3308	3302	3	3	70	12	154	Other	Other	Other
000004665	29273	5167444	3329	3226	17	86	34	27	216	Other	Other	Other
000004845	20516	20520932	3347	3306	7	34	22	21	97	Other	Other	Illumina
000090745	79867	4033265	3016	2995	14	7	163	209	148	Zoonomia	Other	Other
000146605	27076	3898092	3020	3017	3	0	314	55	147	Other	Other	Illumina
000146795	35148	52956880	3288	3235	12	41	69	33	276	Other	Other	Other
000147115	64330	4293315	3168	3027	36	105	109	113	234	Zoonomia	Other	Other
000150855	1066	1329	18	18	0	0	297	3075	26	Other	Other	Other
000150875	1070	1204	22	22	0	0	294	3072	38	Other	Other	Other
000150895	977	1063	16	16	0	0	278	3096	26	Other	Other	Other
000150935	1126	1324	22	22	0	0	284	3083	35	Other	Other	Other
000151735	80583	27942054	3335	3304	20	11	32	23	182	Other	Other	Other
000151845	21866	5954017	3276	3268	8	0	84	30	149	Other	Other	Illumina
000151865	11821	116287	2762	2725	14	23	522	103	347	Other	Other	Illumina
000151885	48087	11931245	3218	3195	5	18	125	47	172	Other	Other	Illumina
000151905	52934	81227029	3310	3251	32	27	59	20	120	Other	Other	Other
000152225	35792	905827	3272	3262	4	6	94	24	106	Other	Other	Illumina
000164785	64490	366442	3060	2874	43	143	272	53	170	Other	Other	Illumina
000164805	38165	401181	3143	3097	13	33	180	65	104	Other	Other	Illumina
000164825	3265	88760	1923	1901	9	13	953	506	737	Zoonomia	Other	Other
000164845	29521	24022313	3329	3313	3	13	46	15	136	Other	Other	CLR
000165045	46577	4521921	3189	3179	8	2	102	98	106	Other	Other	Other
000165445	210702	108171978	3366	3251	26	89	18	6	144	Other	Other	CLR
000180615	52883	928938	3247	3224	21	2	84	59	160	Other	Other	Other
000180675	83204	83204	3117	3102	14	1	191	80	150	Other	Other	Other
000180735	29054	734039	3078	3005	73	0	166	145	496	Other	Other	Other
000180995	13977	102345	2676	2616	22	38	571	138	164	Other	Other	Illumina
000181275	22623	22794405	3262	3223	14	25	81	47	156	Zoonomia	Other	Illumina
000181295	27100	13852661	3349	3280	15	54	26	15	136	Other	Other	Illumina
000181315	2749	2749	543	509	30	4	1357	1466	484	Other	Other	Other
000181335	41915695	88880063	3386	3371	8	7	1	3	111	Other	Other	Other
000181375	2974	2974	759	675	67	17	1229	1379	643	Zoonomia	Other	Other
000181395	2753	2753	489	474	12	3	1408	1464	300	Zoonomia	Other	Other
000181415	1516	1516	335	322	11	2	1171	1851	271	Other	Other	Other
000186305	10658	213970	3064	3061	2	1	242	84	64	Other	Other	Illumina
000188235	29493	2766223	3370	3359	10	1	14	5	64	Zoonomia	Other	Illumina
000189315	20139	1847106	3079	3063	3	13	234	76	145	Other	Other	Illumina
000208655	26278	1687935	3227	3149	14	64	122	41	234	Other	Other	Other
000212995	98388	15540354	3367	3317	11	39	18	5	82	Other	Other	Other
000219685	11025	151762	2840	2817	8	15	437	108	234	Other	Other	Illumina
000222185	3658	155658674	3333	3297	4	32	31	26	538	Other	Other	Other
000223135	39362	1147233	3237	3200	14	23	114	38	135	Other	Other	Illumina
000230445	21750	1603177	3302	3216	35	51	64	24	223	Other	Other	Illumina
000230535	21993	3350749	3237	3226	11	0	99	54	153	Other	Other	Illumina
000230795	12841	1660975	3334	3286	7	41	43	13	137	Other	Other	Illumina
000230815	13209	1141162	3276	3231	6	39	89	24	145	Other	Other	Illumina
000231765	2311	393166	2070	2062	8	0	887	431	630	Other	Other	Other
000233375	36085	592762	3229	1811	1414	4	120	39	122	Other	Other	PacBio
000235385	38823	18744880	3331	3252	15	64	40	19	151	Zoonomia	Other	Illumina
000236235	44137	8192786	3305	3270	10	25	61	24	111	Zoonomia	Other	Illumina
000238235	665	665	205	202	2	1	1157	1988	16	Other	Other	Illumina
000238935	55633	10614383	3225	3223	2	0	120	44	149	Other	Other	Illumina
000238955	1407748	32660920	3377	3281	88	8	6	7	89	Zoonomia	Other	CLR
000239315	66755	9567452	3349	3308	9	32	30	11	90	Zoonomia	Other	Illumina
000239375	22622	2525540	3294	3283	9	2	62	33	105	Zoonomia	Other	Illumina
000239395	13047	4430025	3143	3126	17	0	171	76	198	Zoonomia	Other	Illumina
