Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type	Submitter
GCF_027475565.1	3354	3348	6	0	0	98	32536	2022-12-28	Acinonyx jubatus	Sarcopterygii	Mammalia			Laurasiatheria	Carnivora	missing	University of Veterinary Medicine
GCA_029890205.1	3351	3317	34	0	3	96	10068	2023-05-01	Acomys cahirinus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	Oxford Nanopore	lanzhou university
GCA_907164435.1	3297	3217	80	42	15	95	60744	2021-07-06	Acomys dimidiatus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing	WELLCOME TRUST SANGER INSTITUTE
GCA_907164505.1	3271	3249	22	21	62	121	83762	2021-07-06	Acomys kempi	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing	WELLCOME TRUST SANGER INSTITUTE
GCA_964271855.1	3347	3312	35	1	6	87	83528	2024-10-03	Acomys minous	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio HiFi	Genoscope CEA
GCA_907169655.1	3325	3274	51	18	10	147	83527	2021-07-06	Acomys percivali	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	missing	WELLCOME TRUST SANGER INSTITUTE
GCF_903995435.1	3344	3315	29	5	5	118	60746	2020-08-21	Acomys russatus	Sarcopterygii	Mammalia			Euarchontoglires	Rodentia	PacBio CLR	SC
GCA_044231825.1	3339	3209	130	3	12	128	59515	2024-11-01	Addax nasomaculatus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	Oxford Nanopore	Northwestern Polytechnical University
GCA_011751065.3	3253	3154	99	45	55	144	257879	2024-10-08	Aeorestes cinereus	Sarcopterygii	Mammalia			Laurasiatheria	Chiroptera	missing	United States Geological Survey
GCA_006408695.1	2961	2913	48	317	71	1143	9897	2019-06-24	Aepyceros melampus	Sarcopterygii	Mammalia			Laurasiatheria	Artiodactyla	Illumina	Northwestern Polytechnical University
