Accession	Complete_compleasm	Single_compleasm	Duplicated_compleasm	Fragmented_compleasm	Missing_compleasm	Frameshift_compleasm	Tax_ID	Submission_Date	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type	Submitter
GCA_022829085.1	3326	3290	36	2	26	117	38527	2022-04-08	Abramis brama	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	PacBio HiFi	The Max Planck Institute of Molecular Cell Biology and Genetics
GCA_043656515.1	3280	3270	10	62	11	196	36217	2024-10-23	Abudefduf troschelii	Actinopterygii	Actinopteri	Teleostei	Neopterygii			Illumina	Iridian Genomes
GCA_900312575.1	1721	1709	12	1130	480	169	473344	2018-03-19	Acanthochaenus luetkenii	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Beryciformes	missing	CEES
GCF_021347895.1	3342	3311	31	5	7	234	80966	2022-01-11	Acanthochromis polyacanthus	Actinopterygii	Actinopteri	Teleostei	Neopterygii			PacBio CLR	King Abdullah University of Science and Technology
GCF_904848185.1	3353	3345	8	1	0	111	8177	2020-10-12	Acanthopagrus latus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Spariformes	PacBio CLR	SC
GCA_041753875.1	3353	3346	7	1	0	132	72011	2024-09-05	Acanthopagrus schlegelii	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Spariformes	PacBio HiFi	ShenZhen University
GCA_029814675.1	2653	2639	14	523	175	391	157585	2023-04-18	Acanthurus coeruleus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_029814705.1	673	666	7	1242	1424	475	2609487	2023-04-18	Acanthurus grammoptilus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_029814765.1	3228	3223	5	101	25	145	1828454	2023-04-18	Acanthurus leucopareius	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_029814665.1	3229	3223	6	102	23	141	483362	2023-04-18	Acanthurus lineatus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_029814725.1	2479	2470	9	632	236	451	753644	2023-04-18	Acanthurus nigricauda	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_029823135.1	3113	3012	101	204	36	249	1567455	2023-04-18	Acanthurus reversus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_029783805.1	3093	3086	7	206	52	332	586769	2023-04-17	Acanthurus tennentii	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_029783725.1	3159	3149	10	152	37	195	1316013	2023-04-17	Acanthurus tractus	Actinopterygii	Actinopteri	Teleostei	Neopterygii		Acanthuriformes	Illumina	Iridian Genomes
GCA_034509495.1	3294	3213	81	42	18	167	639287	2023-12-26	Acestrorhynchus altus	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Characiphysae	Characiformes	Oxford Nanopore	BGI Research
GCA_029874615.1	792	787	5	1627	889	46	236538	2023-04-26	Achondrostoma oligolepis	Actinopterygii	Actinopteri	Teleostei	Neopterygii	Cypriniphysae	Cypriniformes	Illumina	Faculty of Sciences from the University of Lisbon
GCA_024762115.1	861	805	56	1645	794	63	7902	2022-08-29	Acipenser gueldenstaedtii	Actinopterygii	Actinopteri		Chondrostei		Acipenseriformes	missing	Ben-Gurion University of the Negev
