Accession	Tax_ID	Submission_Date	Number_Contigs	Contig_N50	Contig_N90	Assembly_Size	Species_name	Super_class	Class	Infra_class	Sub_class	Super_order	Order	Sequencing_type
GCA_000332375.2	241585	2020-08-28	200284	21872	2789	1078989409	Amazona vittata	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_000699545.1	345573	2014-06-11	152268	17412	4393	1127833593	Podiceps cristatus	Sarcopterygii	Aves	Neognathae			Podicipediformes	missing
GCA_000699945.1	43455	2014-06-11	216823	15248	2792	1142028413	Cathartes aura	Sarcopterygii	Aves	Neognathae			Accipitriformes	missing
GCA_001281735.1	1220523	2015-09-14	82096	22849	5896	1001655251	Zosterops lateralis melanops	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_001655095.1	144762	2016-06-02	298829	9618	1968	996184809	Phylloscopus trochiloides viridanus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_001655115.1	56441	2016-06-02	482155	4603	1031	988378389	Phylloscopus plumbeitarsus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_001746935.2	1037456	2020-12-08	69223	43576	7469	955438354	Setophaga coronata coronata	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_001870855.1	211916	2016-11-07	60594	47484	10822	979919245	Tympanuchus cupido pinnatus	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	missing
GCA_002002985.2	30415	2019-05-08	63481	67532	13015	1192329019	Grus japonensis	Sarcopterygii	Aves	Neognathae			Gruiformes	missing
GCA_002167245.1	256693	2017-06-05	24653	438970	23247	1016059588	Sporophila hypoxantha	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_002173435.1	2723871	2017-06-06	121675	28337	6584	1201057528	Phalacrocorax pelagicus	Sarcopterygii	Aves	Neognathae			Suliformes	missing
GCA_002173455.1	56069	2017-06-06	130411	30878	6062	1233912499	Phalacrocorax auritus	Sarcopterygii	Aves	Neognathae			Suliformes	missing
GCA_002173475.1	473964	2017-06-06	48205	67789	18182	1192393285	Phalacrocorax harrisi	Sarcopterygii	Aves	Neognathae			Suliformes	missing
GCA_002174335.1	37046	2017-06-06	541517	8905	975	1335201566	Phalacrocorax brasilianus	Sarcopterygii	Aves	Neognathae			Suliformes	missing
GCA_002218305.1	9009	2017-07-13	59818	154132	19129	1016929532	Callipepla squamata	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	missing
GCA_002224875.1	75864	2017-07-25	141209	33329	4728	1179286053	Anas zonorhyncha	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	missing
GCA_002289315.1	28711	2017-09-11	127444	22064	5013	1153380548	Uria lomvia	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_002631895.1	60468	2017-10-23	156672	18499	4316	1103429466	Agapornis roseicollis	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_002844005.1	1758121	2017-12-15	139617	21257	1817	886828261	Limosa lapponica baueri	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_002849675.1	451385	2018-01-02	32223	106977	18004	1013431323	Acridotheres javanicus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_002870145.1	9228	2018-01-09	429422	7355	1682	1292418961	Psittacula krameri	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_002909625.1	9083	2018-01-31	202991	10376	2497	1030761918	Bambusicola thoracicus	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	missing
GCA_003264655.1	156760	2018-06-25	110602	19405	5619	1155685327	Spheniscus mendiculus	Sarcopterygii	Aves	Neognathae			Sphenisciformes	missing
GCA_003286495.1	64799	2018-07-02	110476	23465	4106	1039639678	Chlorodrepanis virens	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003342815.1	8805	2018-07-26	22342	97229	25647	945798648	Eudromia elegans	Sarcopterygii	Aves			Palaeognathae	Tinamiformes	missing
GCA_003342895.1	8787	2018-07-26	24308	131062	29695	1197487119	Casuarius casuarius	Sarcopterygii	Aves			Palaeognathae	Casuariiformes	missing
GCA_003342965.1	8824	2018-07-26	27269	127792	29409	1213897877	Apteryx owenii	Sarcopterygii	Aves			Palaeognathae	Apterygiformes	missing
GCA_003342985.1	8823	2018-07-26	27811	104693	25777	1203438034	Apteryx haastii	Sarcopterygii	Aves			Palaeognathae	Apterygiformes	missing
GCA_003343005.1	8797	2018-07-26	34570	67884	18323	1146652679	Rhea americana	Sarcopterygii	Aves			Palaeognathae	Rheiformes	missing
GCA_003400225.2	187383	2020-12-15	42324	90121	18584	1141585977	Chlamydotis undulata undulata	Sarcopterygii	Aves	Neognathae			Otidiformes	missing
GCA_003435085.1	9065	2018-08-31	157634	22931	4279	1046825594	Syrmaticus mikado	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	missing
GCA_003546035.1	1948886	2018-09-11	45787	62192	12187	1003779412	Mixornis gularis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003676055.1	44316	2018-10-23	39605	137954	17824	1048326600	Chloebia gouldiae	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003697955.1	425635	2018-10-30	60484	107942	18178	1170088336	Calidris pygmaea	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_003713215.1	39963	2018-11-06	16532	317757	52894	1052188452	Paradisaea rubra	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003713285.1	28716	2018-11-06	21084	193657	32129	1045990886	Diphyllodes magnificus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003713295.1	39961	2018-11-06	14822	336676	59042	1048101212	Parotia lawesii	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003713305.1	36263	2018-11-06	15999	363883	53496	1048000545	Cicinnurus regius	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003829775.2	40217	2022-06-02	61478	71406	9192	999217636	Junco hyemalis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_003947215.1	241587	2018-12-14	22614	208912	41088	1231620060	Amazona collaria	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_003993805.1	507594	2019-01-04	137886	15798	4563	1105214142	Himantopus leucocephalus	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_004023745.1	171275	2019-01-15	266069	10462	2484	1183858900	Recurvirostra avosetta	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_004320125.1	1381582	2019-02-15	85959	53695	8806	1086943594	Scolopax mira	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_004320165.1	1517798	2019-02-16	191226	17109	2518	1132405441	Dendrocopos noguchii	Sarcopterygii	Aves	Neognathae			Piciformes	missing
GCA_004320225.1	1564486	2019-02-16	68368	59150	11716	1190982516	Bubo blakistoni	Sarcopterygii	Aves	Neognathae			Strigiformes	missing
GCA_004360235.1	40817	2019-03-22	1818	17886166	1516334	1230853664	Grus nigricollis	Sarcopterygii	Aves	Neognathae			Gruiformes	Oxford Nanopore
GCA_005890655.1	211967	2019-06-14	1042	3470252	989002	1000038965	Centrocercus minimus	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	PacBio RSII
GCA_006130075.1	8853	2019-06-05	29793	220846	31731	1134556562	Branta canadensis	Sarcopterygii	Aves	Neognathae		Galloanserae	Anseriformes	missing
GCA_006937325.1	8811	2019-07-12	2180497	644	186	890478848	Anomalopteryx didiformis	Sarcopterygii	Aves			Palaeognathae	Dinornithiformes	missing
GCA_007252995.1	364589	2019-07-22	261946	11554	2551	1109485392	Zosterops borbonicus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_007556475.1	43580	2019-07-26	238135	12686	2758	1096741410	Zosterops pallidus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_008033365.1	1743254	2019-08-20	186300	10737	2355	989332576	Pseudorectes ferrugineus	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_008360975.2	1497555	2022-02-11	2227	6736108	423325	1102284676	Lichenostomus cassidix	Sarcopterygii	Aves	Neognathae			Passeriformes	Oxford Nanopore
GCA_008658365.1	28689	2019-10-10	322	18221265	3374007	1174931441	Alca torda	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio CLR
GCA_008692595.2	9014	2021-04-29	39169	106817	10761	939359420	Colinus virginianus	Sarcopterygii	Aves	Neognathae		Galloanserae	Galliformes	missing
GCA_008694505.1	181631	2019-09-25	54089	45026	10686	1032922052	Cyanoderma ruficeps	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_008711295.1	50392	2019-09-27	86591	39499	9695	1193810998	Charadrius alexandrinus	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_008921705.1	85105	2019-10-08	55593	93678	15700	1191749133	Burhinus oedicnemus	Sarcopterygii	Aves	Neognathae			Charadriiformes	missing
GCA_009690805.1	2518271	2019-11-22	46936	57590	13059	1014855308	Hemignathus wilsoni	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_009741485.1	2593467	2019-12-12	24975	101293	21395	1062456442	Malurus cyaneus samueli	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio RSII
GCA_009764595.1	135433	2019-12-19	1757	3247339	323245	1064430700	Geothlypis trichas	Sarcopterygii	Aves	Neognathae			Passeriformes	PacBio CLR
GCA_009769605.1	153643	2019-12-23	316	12039478	3104693	1124523019	Bucorvus abyssinicus	Sarcopterygii	Aves	Neognathae			Bucerotiformes	PacBio CLR
GCA_009792885.1	2668079	2019-12-23	27074	148736	25861	1004907222	Eremophila alpestris peregrina	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_009806455.1	172684	2019-12-27	65591	43434	9908	1126902467	Tetrax tetrax	Sarcopterygii	Aves	Neognathae			Otidiformes	missing
GCA_009812075.1	172413	2019-12-31	41194	53982	11949	924770102	Sialia sialis	Sarcopterygii	Aves	Neognathae			Passeriformes	missing
GCA_009819605.1	108405	2019-12-31	328	22002498	3404150	1219607931	Sterna hirundo	Sarcopterygii	Aves	Neognathae			Charadriiformes	PacBio CLR
GCA_009819775.1	9218	2019-12-31	370	14700712	2395608	1237624816	Phoenicopterus ruber ruber	Sarcopterygii	Aves	Neognathae			Phoenicopteriformes	PacBio CLR
GCA_009823435.2	13180	2022-11-30	282581	15829	2297	1117867470	Nymphicus hollandicus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_009867205.2	190661	2022-11-27	185385	19942	4574	1114374011	Aratinga weddellii	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_009867235.2	57247	2022-11-27	204877	36774	6246	1116834024	Psittacus erithacus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_009867315.2	1549196	2022-11-27	154811	38524	7198	1105210112	Psittacus timneh	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_009936445.2	51900	2022-07-21	260830	12520	2247	1105924951	Anodorhynchus hyacinthinus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_010014725.2	176013	2022-11-27	459691	4241	1125	1007656281	Ara chloropterus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_010014865.2	211511	2022-11-27	172987	22345	5221	1112488058	Pyrrhura frontalis	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_010014875.2	176074	2022-07-29	276138	13131	2811	1106662505	Psitteuteles goldiei	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_010014925.2	13114	2022-11-30	207685	12253	3007	1084550708	Lorius garrulus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_010014965.2	311890	2022-07-29	218170	18623	3992	1133686187	Pyrrhura griseipectus	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
GCA_010015045.2	471713	2022-07-29	267514	8229	2004	1046017890	Lophochroa leadbeateri	Sarcopterygii	Aves	Neognathae			Psittaciformes	missing
