taxon_id	taxon_rank	scientific_name	assembly_id	order	assembly_span	contig_n50	scaffold_n50	contig_count	scaffold_count	chromosome_count	gc_percent	linked_accession	assembly_status	biosample_representative	bioproject	assembly_level	last_updated
317403	species	Triprion petasatus	GCA_044009215.1	Anura	1769779451	2263	2350	1658752	1631414		40.5		primary	primary	PRJNA1148361	Scaffold	2024-10-28
467733	species	Phrynobatrachus minutus	GCA_044008015.1	Anura	1483874292	4169	4321	791307	775854		41.5		primary	primary	PRJNA1151998	Scaffold	2024-10-28
327965	species	Phrynobatrachus natalensis	GCA_044758825.1	Anura	2031217451	2635	2700	1619463	1594416		40.5		primary	primary	PRJNA1151991	Scaffold	2024-11-10
2798809	species	Phrynoglossus myanhessei	GCA_022657655.1	Anura	1829122027	1468	1468	1446664	1446664		41		primary	primary	PRJNA533106;PRJNA687006;PRJNA706923	Contig	2022-03-21
111132	species	Phyllobates terribilis	GCA_046119375.1	Anura	10565289555	12574565	657084709	10576	9342		44.5	GCA_046119355.1	primary	primary	PRJNA1073876	Scaffold	2024-12-17
111132	species	Phyllobates terribilis	GCA_045270155.1	Anura	4220363320	1062	11999	2771166	1171912		42			primary	PRJNA1054463	Scaffold	2024-11-25
860369	species	Phyllomedusa bahiana	GCA_025379985.1	Anura	4741016426	78483	78483	109372	109372		43.5		primary	primary	PRJNA771272	Contig	2022-09-23
8393	species	Phyllomedusa bicolor	GCA_046245075.1	Anura	2263633491	2104	2195	1351651	1282131		41		primary	primary	PRJNA1169310	Scaffold	2024-12-21
191480	species	Pipa carvalhoi	GCA_021901965.1	Anura	1192124124	1968	1968	830118	830118		38		primary	primary	PRJNA778705	Contig	2022-02-03
2741728	species	Platyplectrum ornatum	GCA_016617825.1	Anura	1065311793	4707	27267	238568	148035		39		primary	primary	PRJNA637083	Scaffold	2021-01-12
247094	species	Hymenochirus boettgeri	GCA_019447015.1	Anura	3210867089	783846	293320900	42213	25835	9	39.5		primary	primary	PRJNA578589	Chromosome	2021-08-05
143418	species	Hyperolius nasutus	GCA_044758645.1	Anura	2845579347	2593	2667	2208292	2154734		42.5		primary	primary	PRJNA1148364	Scaffold	2024-11-10
752182	species	Hyperolius riggenbachi	GCA_040937935.1	Anura	4915935452	2674826	451034413	3516	477	12	45	GCA_040937895.1	primary	primary	PRJNA1129093;PRJNA1137929;PRJNA489243;PRJNA533106	Chromosome	2024-07-30
39591	species	Hyperolius viridiflavus	GCA_046244975.1	Anura	2005757686	1489	1539	1582595	1515728		43		primary	primary	PRJNA1148355	Scaffold	2024-12-21
8453	species	Ichthyophis bannanicus	GCA_033557465.1	Gymnophiona	12355439938	5700647	1041838628	6475	348	21	46		primary	primary	PRJNA1020273	Chromosome	2023-11-14
8388	species	Incilius valliceps	GCA_044008735.1	Anura	1945516919	2982	3039	1599507	1582514		42.5		primary	primary	PRJNA1148353	Scaffold	2024-10-28
2790342	species	Conraua beccarii	GCA_044758215.1	Anura	1759549356	4073	4249	880901	858003		41.5		primary	primary	PRJNA1148374	Scaffold	2024-11-10
2517376	species	Afrixalus enseticola	GCA_046271045.1	Anura	2273100819	1989	2109	1425214	1320299		42.5		primary	primary	PRJNA1169577	Scaffold	2024-12-25
197464	species	Agalychnis callidryas	GCA_047292535.1	Anura	1881754351	1757	1831	1306805	1242881		40		primary	primary	PRJNA1183772	Scaffold	2025-01-28
8439	species	Ascaphus truei	GCA_036426205.1	Anura	3101746330	164230	76695647	128214	107521	22	44			primary	PRJNA550271	Chromosome	2024-02-07
330833	species	Atelopus hoogmoedi	GCA_046270825.1	Anura	1773627182	1471	1555	1398602	1309457		42.5		primary	primary	PRJNA1183774	Scaffold	2024-12-25
2776728	species	Atelopus laetissimus	GCA_041080635.1	Anura	3506202348	31028324	31028324	1487	1487		43.5		primary	primary	PRJNA1142550	Contig	2024-08-07
8296	species	Ambystoma mexicanum	GCA_040938575.1	Caudata	29117848270	23068610	1489131749	2315	220	21	46.5		primary	primary	PRJNA1104202;PRJNA1168523	Chromosome	2024-07-30
